BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate
0E9K,CONCORDE RESOURCES LIMITED PARTNERSHIP,10240 124 ST NW SUITE 705    EDMONTON AB CA T5N 3W6,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0E9L,CONOCOPHILLIPS CANADA ENERGY PARTNERSHIP,401 9 AVE SW PO BOX 130 STN M   CALGARY AB CA T2P 2H7,403-233-4000,DISSOLUTION/DISSOLVED,2018-03-01,,,
0E9M,CONOCOPHILLIPS WESTERN CANADA PARTNERSHIP,401 9 AVE SW PO BOX 130 STN M   CALGARY AB CA T2P 2H7,403-233-4000,DISSOLUTION/DISSOLVED,2018-04-01,,,
0E9N,CONTACT EXPLORATION INC.,850 2 ST SW SUITE 400    CALGARY AB CA T2P 0R8,403-234-8663,AMALGAMATED,2014-12-19,A71G,KICKING HORSE ENERGY INC.,2015-03-31
0E9P,CONTINENTAL CONSOLIDATED MINES & OILS LTD,NEWALTA CORPORATION 333 11 AVE SW SUITE 400   CALGARY AB CA T2R 1L9,780-422-1395,NON REGISTERED,2002-10-01,,,
0E9R,CONVEGA ENERGY LTD.,710-20 CROWFOOT CRES NW SUITE 721    CALGARY AB CA T3G 2P6,403-547-7227,ACTIVE,2010-12-02,,,
0E9T,COOPER GARY K ,10020 101A AVE NW SUITE 200    EDMONTON AB CA T5J 3G2,780-422-1395,NON REGISTERED,2002-10-01,,,
0E9W,COOPER GORDON ,3222 KING EDWARD AVE W    VANCOUVER BC CA V6L 1V7,780-422-1395,NON REGISTERED,2002-10-01,,,
0E9X,COOPER ROBERT ,2020 KENT AVE SE SUITE 203    VANCOUVER BC CA V5P 4X1,780-422-1395,NON REGISTERED,2002-10-01,,,
0E9Y,COPELAND DONALD DARRELL,600 PRINCETON WAY SW SUITE 1202    CALGARY AB CA T2P 5N4,403-237-9175,NON REGISTERED,1992-01-01,,,
0E9Z,COPETREX OIL & GAS CO LTD EIGHTH PROGRAM,C O COPETREX OIL & GAS CO LTD 250 6 AVE SW SUITE 550   CALGARY AB CA T2P 3H7,780-422-1395,NON REGISTERED,1994-01-01,,,
0EA1,ENERMARK INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1994-01-01,0P34,ENERMARK INC.,2002-10-31
0EA2,PETREX ENERGY LTD.,8228 ELBOW DR SW    CALGARY AB CA T2V 1K4,403-255-8190,ACTIVE,2002-10-01,,,
0EA3,FRANK O'SULLIVAN PETROLEUM WESTERN LTD.,PENTHOUSE 1 9737 112 ST NW   EDMONTON AB CA T5K 1L3,780-422-1395,ACTIVE,1994-01-01,,,
0EA4,BALOIL PETROLEUM LTD.,143 PUMP HILL PL SW    CALGARY AB CA T2V 4C6,780-422-1395,ACTIVE,2014-11-24,,,
0EA5,"REDCLIFF, TOWN OF",PO BOX 40    REDCLIFF AB CA T0J 2P0,780-422-1395,NON REGISTERED,2002-10-01,,,
0EA6,DOW BIOPRODUCTS LTD,POSTAL BAG 16 BUILDING 370   FT SASKATCHEWAN AB CA T8L 2P4,780-422-1395,AMALGAMATED,2005-02-18,0F05,DOW CHEMICAL CANADA ULC,2005-05-31
0EA7,SPENCE CLIFF ,4723 1 ST SW SUITE 302    CALGARY AB CA T2G 4Y8,780-422-1395,NON REGISTERED,2002-10-01,,,
0EA8,PETROSTAR PETROLEUMS INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1993-01-01,0JC2,PETROSTAR PETROLEUMS INC,2002-10-31
0EA9,SUNOMA ENERGY CORP,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1988-01-01,0AF6,ORBIT OIL & GAS LTD,2002-10-31
0EB1,RICSHAW PETROLEUM LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1986-09-01,,,
0EB2,SOQUIP ALBERTA INC.,SOCIETE GENERALE DE FINANCEMENT DU  QUEBEC 600 RUE DE LA GAUCHETIERE OUEST  MONTREAL QC CA H3B 4L8,780-422-1395,ACTIVE,2005-08-02,,,
0EB3,MORGAN HYDROCARBONS INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1992-07-01,0DT9,MORGAN HYDROCARBONS INC.,2002-10-31
0EB4,HUSKY OIL OPERATIONS LIMITED (ET AL),9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,ACTIVE,2002-10-01,,,
0EB6,BLUE RANGE RESOURCES LTD,800 5 AVE SW SUITE 1300    CALGARY AB CA T2P 3T6,780-422-1395,STRUCK,1997-09-04,,,
0EB7,PARADA OIL LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1992-01-01,,,
0EB8,TRILOGY RESOURCE CORPORATION,425 1 ST SW SUITE 2400    CALGARY AB CA T2P 3L8,780-422-1395,AMALGAMATED,1994-01-01,0BL4,MANNVILLE OIL & GAS LTD,2002-10-31
0EB9,D. W. AXFORD & ASSOCIATES LTD.,406 OAKHILL PL SW    CALGARY AB CA T2V 3X6,403-263-4292,STRUCK,2018-03-02,,,
0EC1,LATERAL VECTOR RESOURCES INC,PO BOX 291    ST PETER PORT GUERNSEY GB GY1 3RR,7804221395,STRUCK,2003-10-02,,,
0EC2,PLEASANT HILLS RESOURCES LTD,816 7 AVE SW SUITE 216    CALGARY AB CA T2P 1A1,780-422-1395,STRUCK,1997-04-01,,,
0EC3,VECTRA LTD.,1000 CENTRE ST NORTH SUITE 530    CALGARY AB CA T2E 7W6,780-422-1395,STRUCK,2006-10-02,,,
0EC4,GOFORTH OIL & GAS LTD,SITE 207 BOX 10 RR 2   ST ALBERTA AB CA T8N 1M9,780-422-1395,STRUCK,1987-06-01,,,
0EC5,WHITTAKER INVESTMENTS LTD.,PO BOX 600    VALLEYVIEW AB CA T0H 3N0,780-422-1395,ACTIVE,2014-02-02,,,
0EC6,PLACER CEGO PETROLEUM LTD,530 8 AVE SW FLOOR 6    CALGARY AB CA T2P 3X2,780-422-1395,STRUCK,1991-12-31,,,
0EC7,ALTIME ENGINEERING LTD.,11816 121 ST NW SUITE 202    EDMONTON AB CA T8N 2T7,587-400-9335,ACTIVE,2002-10-01,,,
0EC8,MICA RESOURCES,1015 4 ST SW SUITE 901    CALGARY AB CA T2R 1J4,780-422-1395,NON REGISTERED,2002-10-01,,,
0EC9,G N TRANSPORTATION,BOX 25    TEES AB CA T0C 2N0,780-422-1395,NON REGISTERED,2002-10-01,,,
0ED1,ALBERTA OIL SANDS TECHNOLOGY & RESEARCH AUTHORITY,801 6 AVE SW FLOOR 5    CALGARY AB CA T2P 3W2,780-422-1395,NON REGISTERED,1994-01-01,,,
0ED2,201875 ALBERTA LTD,910 7 AVE SW SUITE 450    CALGARY AB CA T2P 3N8,780-422-1395,STRUCK,1988-06-01,,,
0ED3,MACE GLEN OLIVER ,RR1    PENHOLD AB CA T0M 1R0,780-422-1395,NON REGISTERED,2002-10-01,,,
0ED4,CONSORT RESOURCES (1984) LTD,535 7 AVE SW SUITE 300    CALGARY AB CA T2P 0Y4,780-422-1395,STRUCK,1989-05-01,,,
0ED5,PRC PETROLEUM (1984) LTD,AQUITAINE TOWER 540 5 AVE SW SUITE 1020   CALGARY AB CA T2P 0M2,780-422-1395,STRUCK,1993-01-05,,,
0ED6,CANADIAN JOREX LIMITED,520 5 AVE SW SUITE 1400    CALGARY AB CA T2P 3R7,403-266-1930,AMALGAMATED,2006-05-01,0PR1,COASTAL RESOURCES LIMITED,2006-08-31
0ED7,HIGHLIGHT OILS LTD,"235, 200 RIVERCREST DR SE    CALGARY AB CA T2C 2X5",780-422-1395,STRUCK,1985-11-01,,,
0ED8,CHEVRON STANDARD LIMITED,500 5 AVE SW    CALGARY AB CA T2P 0L7,403-234-5380,ACTIVE,1994-01-01,,,
0ED9,TWO FORTY ENGINEERING LTD.,143 VALLEY RIDGE GREEN NW    CALGARY AB CA T3B 5L5,403-547-7104,ACTIVE,2011-12-14,,,
0EE1,CAN-AMERA OIL SANDS INC,407 8 AVE SW SUITE 600    CALGARY AB CA T2P 1E6,780-422-1395,ACTIVE,2002-10-01,,,
0EE2,CHRUMKA FARMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1987-01-21,,,
0EE3,WESTDRUM ENERGY LTD.,PO BOX 1964    DRUMHELLER AB CA T0J 0Y0,403-823-3415,ACTIVE,1988-12-01,,,
0EE4,NIMECK RICHARD J ,PO BOX 584    OKOTOKS AB CA T0L 1T0,780-422-1395,NON REGISTERED,1994-01-01,,,
0EE5,TURALTA EXPLORATION LIMITED,535 7 AVE SW SUITE 300    CALGARY AB CA T2P 0Y4,780-422-1395,STRUCK,1991-01-01,,,
0EE6,SEADRIFT INTERNATIONAL EXPLORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,CONTINUED OUT,1988-12-30,,,
0EE7,OLSON FARMS (PROVOST) LTD,PO BOX 266    PROVOST AB CA T0B 3S0,780-422-1395,ACTIVE,2002-10-01,,,
0EE8,PALMER RANCH LTD (PINCHER CK GASPLANT),BOX 1150    PINCHER CREEK AB CA T0K 1W0,780-422-1395,NON REGISTERED,1984-12-01,,,
0EE9,NEW BRUNSWICK OILFIELDS LIMITED,734 7 AVE SW    CALGARY AB CA T2P 2M7,780-422-1395,STRUCK,1986-12-31,,,
0EF1,TWIN ROCK HOLDINGS LTD,PO BOX 326    BLACKFALDS AB CA T0M 0J0,780-422-1395,ACTIVE,1994-01-01,,,
0EF2,PETENCO RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0DH9,PETENCO RESOURCES LTD.,2002-10-31
0EF3,TRANSCANADA PIPELINES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0L55,TRANSCANADA PIPELINES LIMITED,2002-10-31
0EF5,FLAME OIL & GAS LTD,1409 SHELBOURNE ST    CALGARY AB CA T3C 2L1,780-422-1395,STRUCK,1986-01-22,,,
0EF6,HUSKY OIL OPERATIONS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0R46,HUSKY OIL OPERATIONS LIMITED,2002-10-31
0EF7,GEODATA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0FL2,GEODATA LTD.,2002-10-31
0EF8,AZGARD CORPORATION,1520 4 ST SW SUITE 900    CALGARY AB CA T2R 1H5,780-422-1395,ACTIVE,2002-10-01,,,
0EF9,CHERHILL RESOURCES LIMITED,101 6 AVE SW SUITE 1550    CALGARY AB CA T2P 3P4,780-422-1395,STRUCK,1994-08-01,,,
0EG1,NOVA GAS TRANSMISSION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0TB3,NOVA GAS TRANSMISSION LTD.,2002-10-31
0EG2,GENTRA ONE RESOURCES INC,PO BOX 23011 RPO CONNAUGHT    CALGARY AB CA T2S 3B1,780-422-1395,ACTIVE,1986-01-01,,,
0EG3,RIMBEY HYDROCARBONS INC,4919 59 ST SUITE 274    RED DEER AB CA T4N 6C9,780-422-1395,STRUCK,1997-07-01,,,
0EG4,CUANZA HOLDINGS LTD,633 6 AVE SW SUITE 1900    CALGARY AB CA T2P 2Y5,780-422-1395,STRUCK,1999-06-01,,,
0EG5,ELECTRIC FURNACE PRODUCTS COMPANY LIMITED,UNION CARBIDE CANADA LIMITED PO BOX 5501   RED DEER AB CA T4N 6N1,780-422-1395,ACTIVE,2002-10-01,,,
0EG6,NORAMEX RESOURCES LTD,PO BOX 78039 HERITAGE POST OFFICE    CALGARY AB CA T2H 2Y1,780-422-1395,DISSOLUTION/DISSOLVED,1999-01-28,,,
0EG7,MORGAN HYDROCARBONS INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0DT9,MORGAN HYDROCARBONS INC.,2002-10-31
0EG8,NAGATOMI ENGINEERING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0GX7,NAGATOMI ENGINEERING LTD.,2002-10-31
0EG9,HIGH LEVEL ENERGY LTD,PO BOX 32084 RPO BANKVIEW    CALGARY AB CA T2T 5X6,780-422-1395,STRUCK,1990-11-01,,,
0EH1,O S E C PETROLEUM CANADA LIMITED,1127 15 ST W    NORTH VANCOUVER BC CA V7P 1M7,780-422-1395,ACTIVE,1986-11-01,,,
0EH2,TRARION RESOURCES LTD.,NORTH BUSINESS PARK 7 BOULDER BLVD SUITE 101   STONY PLAIN AB CA T7Z 1V6,780-963-9206,ACTIVE,1989-01-01,,,
0EH3,RED LANCE RESOURCES LTD,SPRAGUE ROSSER CONTRACTING LTD 7323 46 ST NW   EDMONTON AB CA T6B 2W7,780-422-1395,STRUCK,1996-06-01,,,
0EH4,MOSSWOOD OIL & GAS LTD,505 3 ST SW SUITE 850    CALGARY AB CA T2P 3E6,780-422-1395,STRUCK,1993-05-25,,,
0EH5,HUSKY OIL OPERATIONS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0R46,HUSKY OIL OPERATIONS LIMITED,2002-10-31
0EH6,SPIRIT CORPORATION,144 4 AVE SW SUITE 1500    CALGARY AB CA T2P 3N4,780-422-1395,AMALGAMATED,2001-01-01,0NZ8,BEST PACIFIC RESOURCES LTD.,2002-10-31
0EH7,DAVID WERKLUND LTD.,530 8 AVE SW SUITE 2400    CALGARY AB CA T2P 3S8,780-422-1395,AMALGAMATED,2015-01-31,A737,WERKLUND VENTURES LTD. ,2015-05-31
0EH8,CANADIAN SLOVENIA OIL & GAS LTD,615 CENTRE ST PO BOX 803   BROOKS AB CA T0J 0J0,780-422-1395,STRUCK,1992-06-01,,,
0EH9,ROCKY RIVER RESOURCES LTD,DOME TOWER 333 7 AVE SW SUITE 1204   CALGARY AB CA T2N 2Z1,780-422-1395,STRUCK,2003-06-02,,,
0EJ1,"CORAL PETROLEUM - CANADA, INC",C O PETROREP CANADA LTD 630 6 AVE SW SUITE 1000   CALGARY AB CA T2P 0S8,780-422-1395,STRUCK,1987-01-01,,,
0EJ2,"HUDSON BAY MINING AND SMELTING CO., LIMITED",PO BOX 1500    FLIN FLON MB CA R8A 1N9,780-422-1395,ACTIVE,2002-10-01,,,
0EJ3,294236 ALBERTA LTD,1414 8 ST SW SUITE 640    CALGARY AB CA T2R 1J6,780-422-1395,STRUCK,2003-06-02,,,
0EJ4,SCHMIDT GEORGE ARTHUR ,BOX 17 SITE 5 RR 2   GRANDE PRAIRIE AB CA T8V 2Z9,780-422-1395,NON REGISTERED,2002-10-01,,,
0EJ5,TEXAS PACIFIC OIL COMPANY INC,540 5 AVE SW SUITE 1100    CALGARY AB CA T2P 0M2,780-422-1395,STRUCK,1987-01-01,,,
0EJ6,ABATERRA ENERGY LTD,"PROLL, DOUG 400 3 AVE SW SUITE 3300   CALGARY AB CA T2P 4H2",780-422-1395,STRUCK,1990-03-01,,,
0EJ7,ZIEFFLE ROBERT J. ,PO BOX 60    WALSH AB CA T0J 3L0,780-422-1395,NON REGISTERED,2002-10-01,,,
0EJ8,TURNER VALLEY RANCH LTD.,PO BOX 447    TURNER VALLEY AB CA T0L 2A0,780-422-1395,ACTIVE,2009-03-02,,,
0EJ9,RESMAN OIL AND GAS LTD,MOUNTAIN ENERGY INC 520 5 AVE SW SUITE 920   CALGARY AB CA T2P 3R7,780-422-1395,AMALGAMATED,1997-08-01,0L30,RESMAN HOLDINGS LTD,2002-10-31
0EK2,BYRAM INDUSTRIAL SERVICES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0DX9,1208058 ALBERTA LTD.,2002-10-31
0EK3,MAGUIRE RESOURCES LTD.,3327 BOULTON ROAD NW    CALGARY AB CA T2L 1M2,780-422-1395,ACTIVE,2010-01-02,,,
0EK4,BACKER PETROLEUM CORP,606 4 ST SW SUITE 1100    CALGARY AB CA T2P 1T1,780-422-1395,AMALGAMATED,2002-02-01,0JP8,ALLIED OIL & GAS CORP.,2002-10-31
0EK5,RUSTUM PETROLEUMS LIMITED,715 5 AVE SW SUITE 1610     CALGARY AB CA T2P 2X6,403-262-2448,ACTIVE,1988-02-01,,,
0EK6,KUNZ ULRICH ,PO BOX 1949    BROOKS AB CA T0J 0J0,780-422-1395,NON REGISTERED,2002-10-01,,,
0EK7,BUREAU OF MINES LABORATORY,GEOLOGICAL SURVEY OF CANADA MAGNETIC SURVEY 601 BOOTH ST  OTTAWA ON CA K1A 0E8,780-422-1395,NON REGISTERED,2002-10-01,,,
0EK8,ALBERTA RESEARCH COUNCIL PROFESSIONAL STAFF,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0P68,ALBERTA RESEARCH COUNCIL PROFESSIONAL STAFF,2002-10-31
0EK9,ANTIBE RESOURCES LTD.,4034 MARTHA CRES    VICTORIA BC CA V8X 2E3,250-721-4034,CONTINUED OUT,2014-12-19,,,
0EL1,ALBERTA ENVIRONMENT-WATER MANAGEMENT,FLOOR 11 9820 106 ST   EDMONTON AB CA T5K 2J6,780-427-9718,NON REGISTERED,2002-10-01,,,
0EL2,NALCAN OILFIELD DISPOSAL LTD,RR 2    GRANDE PRAIRIE AB CA T8V 2Z9,780-422-1395,STRUCK,1996-08-01,,,
0EL3,ABATRE RESOURCES LTD,1147 17 AVE SW SUITE 200    CALGARY AB CA T2T 0B7,780-422-1395,STRUCK,1992-08-01,,,
0EL4,HALVAR RESOURCES LTD.,1518 7 ST SW SUITE 200    CALGARY AB CA T2R 1A7,403-233-2562 Ext 24,AMALGAMATED,2014-01-01,A5C7,FREEMONT RESOURCES LTD.,2014-04-30
0EL5,RUTHERFORD PROPERTIES LTD.,328 VARSITY ESTATES PL NW    CALGARY AB CA T3B 3B8,780-422-1395,AMALGAMATED,2006-04-01,A21M,SUNHENGE INC.,2006-04-30
0EL6,SUMMIT RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1989-01-01,0L06,SUMMIT RESOURCES LIMITED,2002-10-31
0EL7,EFS RESOURCES LTD,2539 142A AVE NW    EDMONTON AB CA T5Y 1L9,780-422-1395,ACTIVE,2002-10-01,,,
0EL8,EVEREST HOLDINGS LTD,7 WEST MEADOWS CRT SW    CALGARY AB CA T3Z 1B7,780-422-1395,ACTIVE,1988-01-01,,,
0EL9,CHARPET RESOURCES LTD.,C/O TREVOY SIMPSON LLP 10180 101 ST SUITE 680   EDMONTON AB CA T5J 3S4,780-422-1395,DISSOLUTION/DISSOLVED,2012-10-12,,,
0EM1,KERR-MCGEE CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0AD1,BRAE CANADA LTD.,2002-10-31
0EM2,PETROLIA OIL & GAS LTD,"1000, 833 4 AVE SW    CALGARY AB CA T2P 3T5",780-422-1395,AMALGAMATED,1993-09-01,0DM6,FORTUNE ENERGY INC.,2002-10-31
0EM3,DICORE RESOURCES LTD,PO BOX 3100 STN B    CALGARY AB CA T2M 4L6,780-422-1395,STRUCK,2003-05-02,,,
0EM4,KEEMOIL LIMITED,10536 WANETA CRES SE    CALGARY AB CA T2J 1J6,780-422-1395,STRUCK,2007-03-02,,,
0EM5,BRUCE DEVELOPMENTS LIMITED,6424 WOODLAND DR    VERNON BC CA V1B 3G7,780-422-1395,STRUCK,2017-04-02,,,
0EM6,WARD CHEMICAL INCORPORATED,6015 103A ST NW    EDMONTON AB CA T6H 2J7,780-422-1395,ACTIVE,2002-10-01,,,
0EM7,BIRCH WAVY RESOURCES LTD.,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1986-09-01,,,
0EM8,"TRINDEX OIL CORPORATION, LIMITED",400 5 AVE SW SUITE 500    CALGARY AB CA T2P 0L6,780-422-1395,STRUCK,1987-06-01,,,
0EN1,SEA HAWK RESOURCES LTD,101 6 AVE SW SUITE 1515    CALGARY AB CA T2P 3P4,780-422-1395,DISSOLUTION/DISSOLVED,1999-09-22,,,
0EN2,ALBION PETROLEUM CORPORATION LTD.,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1988-04-01,,,
0EN3,STOCKWORK PROPERTIES LTD.,888 4 AVE SW SUITE 501    CALGARY AB CA T2P 0V2,403-297-9482,ACTIVE,1993-01-01,,,
0EN4,RDO RESOURCES LTD,SABA ENERGY LTD BOX 20029 RPO BOW VALLEY   CALGARY AB CA T2P 4H3,780-422-1395,STRUCK,1992-01-01,,,
0EN5,PAGE PRODUCTION OPERATIONS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1995-06-01,,,
0EN6,TEMPEST DEVELOPMENTS LTD,512 CENTRE 70 7015 MACLEOD TRAIL SW   CALGARY AB CA T2H 2K6,780-422-1395,ACTIVE,2002-10-01,,,
0EN7,GOLDLEAF INVESTMENTS LTD.,DIANA ROZSA SITE 9 RR 2   OKOTOKS AB CA T1S 1A2,780-422-1395,DISSOLUTION/DISSOLVED,2018-08-29,,,
0EN8,EPOCH CAPITAL CORPORATION,CENTRAL PARK PLAZA 340 12 AVE SW SUITE 1550   CALGARY AB CA T2R 1L5,780-422-1395,STRUCK,1999-02-01,,,
0EN9,COLUMBUS OIL & GAS INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1990-09-01,,,
0EP1,UNIVERSITY OF ALBERTA,UTILITIES GENERAL SERVICES BLDG FLOOR 4   EDMONTON AB CA T6G 2H1,780-492-5286,NON REGISTERED,2002-10-01,,,
0EP2,VOYAGER PETROLEUMS (II) LTD,C O POCO PETROLUEMS LTD MINERAL LAND DEPARTMENT 250 6 AVE SW SUITE 3500 PO BOX 4365 STN C CALGARY AB CA T2T 5N2,780-422-1395,STRUCK,1990-01-12,,,
0EP3,AMEC BDR LIMITED/AMEC BDR LIMITEE,1601 WESTMOUNT ROAD NW SUITE 300    CALGARY AB CA T2N 3M2,780-422-1395,ACTIVE,2002-10-01,,,
0EP4,COLDSTREAM ENERGY LTD.,40250 TWP RD 250    CALGARY AB CA T3Z 2P6,780-422-1395,STRUCK,2018-06-02,,,
0EP5,GC GREYHAWKE CORPORATION,PETRO CANADA TOWER 150 6 AVE SW SUITE 3510   CALGARY AB CA T2P 3Y7,780-422-1395,STRUCK,1995-12-01,,,
0EP6,ROSE RESOURCES LTD.,808 4 AVE SW SUITE 975    CALGARY AB CA T2P 0K4,780-422-1395,STRUCK,2014-04-02,,,
0EP7,BOBCAT ENERGY LTD,1776 LINCOLN ST SUITE 500    DENVER CO US 80203,780-422-1395,DISSOLUTION/DISSOLVED,2002-10-01,,,
0EP8,98960 TRADING CO. LTD.,700 2 ST SW SUITE 2500    CALGARY AB CA T2P 2W2,780-422-1395,STRUCK,2017-07-02,,,
0EP9,ENERWEST EXPLORATION LTD.,CO EECL RESOURCES LTD. 700 4 AVE SW SUITE 1170   CALGARY AB CA T2P 3J4,780-422-1395,STRUCK,2003-11-02,,,
0ER1,ARJEX HOLDINGS LTD,PO BOX 6568 STATION D   CALGARY AB CA T2P 2E4,780-422-1395,STRUCK,1992-09-01,,,
0ER2,STARTECH ENERGY INC.,440 2 AVE SW SUITE 1400    CALGARY AB CA T2P 5E9,403-509-6415,AMALGAMATED,2001-02-01,0G30,ARC RESOURCES LTD.,2003-05-31
0ER3,CHANCE RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1989-09-01,,,
0ER4,394434 ALBERTA LTD,"1670, 700 4 AVE SW    CALGARY AB CA T2P 3J4",780-422-1395,STRUCK,1993-07-01,,,
0ER5,BEAVEN A. BARRY ,13816 PARK ESTATES DRIVE SE    CALGARY AB CA T2J 3W2,780-422-1395,NON REGISTERED,2002-10-01,,,
0ER6,ALLHEART RESOURCES INC,10655 SOUTHPORT RD SW SUITE 200    CALGARY AB CA T2W 4Y1,780-422-1395,AMALGAMATED,2000-08-15,0FR8,ALLHEART RESOURCES INC,2002-10-31
0ER7,VIRAGO ENERGY CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1989-04-01,,,
0ER8,KILMARTIN RESOURCES LTD,630 6 AVE SW FLOOR 15    CALGARY AB CA T2P 0S8,780-422-1395,STRUCK,1988-03-14,,,
0ER9,DEER CREEK LIVESTOCK COMPANY LIMITED,PO BOX 997    LETHBRIDGE AB CA T1J 4A2,780-422-1395,ACTIVE,2002-10-01,,,
0ET1,PROCAN EXPLORATION COMPANY LIMITED,"C O PARAGON PETROLEUM CORPORATION 750, 407 8 AVE SW   CALGARY AB CA T2P 1E5",780-422-1395,AMALGAMATED,1994-01-01,0PH8,NANISIVIK MINES LTD,2002-10-31
0ET2,WESTERN DISPOSAL C/O DARRELL HALLGREN,PO BOX 1631    ROCKY MOUNTAIN HOUSE AB CA T0M 1T0,780-422-1395,NON REGISTERED,2002-10-01,,,
0ET3,TILLEY OILFIELD SALES SERVICE,PO BOX 185    TILLEY AB CA T0J 3K0,780-422-1395,NON REGISTERED,2002-10-01,,,
0ET4,ALLARCO ENERGY LTD,CHENERGY DOBSON RESOURCE MANAGE 505 3 ST SW SUTIE 1304   CALGARY AB CA T2P 3E6,780-422-1395,STRUCK,1997-12-01,,,
0ET5,TURF PETROLEUM LTD.,WESTERN CORPORATE CENTRE 825 8 AVE SW SUITE 907   CALGARY AB CA T2P 2T3,403-264-2241,STRUCK,2008-01-02,,,
0ET6,WOREX RESOURCES LTD,2716 32 AVE SW    CALGARY AB CA T3E 0W2,780-422-1395,STRUCK,1997-12-01,,,
0ET7,TORRIE RANCHES LTD. ,BOX 606    GRASSY LAKE AB CA T0K 0Z0,780-422-1395,ACTIVE,2002-10-01,,,
0ET8,"FORTY MILE 8, COUNTY OF",PO BOX 160    FOREMOST AB CA T0K 0X0,780-422-1395,NON REGISTERED,2012-09-13,,,
0ET9,S & A DITCHING LTD,PO BOX 32    BARONS AB CA T0L 0G0,780-422-1395,ACTIVE,2002-10-01,,,
0EW1,291359 ALBERTA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1991-11-01,,,
0EW2,SOUTHERN TRANSPORTATION LTD.,PO BOX 2251    TABER AB CA T0K 2G0,780-422-1395,STRUCK,2015-09-02,,,
0EW3,ABACAN RESOURCE CORPORATION,800 5 AVE SW SUITE 1750    CALGARY AB CA T2P 3T6,780-422-1395,STRUCK,2001-08-02,,,
0EW4,HALLGREN DARRELL ,5119 56 AVE    ECKVILLE AB CA T0M 0X0,780-422-1395,NON REGISTERED,2002-10-01,,,
0EW5,FISONS HORTICULTURE INC,PO BOX 189    SEBA BEACH AB CA T0E 2B0,780-422-1395,STRUCK,1993-08-16,,,
0EW6,PALMER RANCH (1984) LTD.,PO BOX 357    PINCHER CREEK AB CA T0K 1W0,403-626-3945,ACTIVE,1994-01-01,,,
0EW7,HUSKY OIL OPERATIONS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1992-06-01,0BN9,RENAISSANCE ENERGY LTD.,2002-10-31
0EW8,CANADIAN LANDMASTERS RESOURCE SERVICES LTD.,440 2 AVE SW SUITE 400    CALGARY AB CA T2P 5E9,587-952-8282,ACTIVE,2008-03-02,,,
