Month,Year,Corporate Entity,Pipeline Name,Key Point, Total Nominations (1000 m3/d) ,Apportionment percent
11,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
12,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
1,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
2,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
3,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
4,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
5,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
6,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
7,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3,0%
8,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
9,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
10,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.8,0%
11,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3,0%
12,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.3,0%
1,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
2,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
3,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.3,0%
4,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
5,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.5,0%
6,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
7,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.3,0%
8,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
9,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3,0%
10,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.5,0%
11,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
12,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
1,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
2,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.7,0%
3,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
4,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.9,0%
5,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.2,0%
6,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.6,0%
7,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.8,0%
8,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.8,0%
9,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
10,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.2,0%
11,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
12,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
1,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
2,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.7,0%
3,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
4,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,3.1,0%
5,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
6,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
7,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
8,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
9,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.7,0%
10,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
11,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.7,0%
12,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
1,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
2,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
3,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
4,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
5,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
6,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
7,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
8,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
9,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
10,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
11,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
12,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
1,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
2,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
3,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.6,0%
4,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
5,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
6,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.5,0%
7,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
8,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.3,0%
9,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
10,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.7,0%
11,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.2,0%
12,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.4,0%
1,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
2,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
3,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.2,0%
4,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
5,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
6,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
7,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.1,0%
8,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
9,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
10,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.2,0%
11,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
12,2015,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2.1,0%
1,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.8,0%
2,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
3,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
4,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
5,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,2,0%
6,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
7,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
8,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.7,0%
9,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.6,0%
10,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.9,0%
11,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,1.4,0%
12,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.5,0%
1,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.2,0%
2,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.2,0%
3,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.3,0%
4,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.3,0%
5,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.3,0%
6,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,0.3,0%
1,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,710,33%
2,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,742.5,41%
3,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,720.7,38%
4,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,737.4,38%
4,2017,Enbridge Pipelines Inc.,Canadian Mainline,Regina,737.4,29%
5,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,642.7,27%
6,2017,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,634.6,19%
1,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,642,16%
1,2016,Enbridge Pipelines Inc.,Canadian Mainline,Clearbrook,642,3%
2,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,615.9,14%
2,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,615.9,10%
3,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,558,2%
3,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,558,11%
4,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,508.9,6%
5,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,565.9,6%
5,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,565.9,11%
6,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,573.8,7%
6,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,573.8,7%
7,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,539.7,4%
7,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,539.7,17%
8,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,578.7,15%
8,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,578.7,14%
9,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,609.4,22%
9,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,609.4,10%
10,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,593.9,14%
10,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,593.9,14%
11,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,610.1,17%
11,2016,Enbridge Pipelines Inc.,Canadian Mainline,Westover,610.1,10%
12,2016,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,647.2,23%
1,2015,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,666.1,41%
1,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,666.1,30%
1,2015,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,666.1,5%
1,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,666.1,36%
2,2015,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,693.7,46%
2,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,693.7,36%
2,2015,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,693.7,6%
2,2015,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,693.7,6%
2,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,693.7,40%
3,2015,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,696,46%
3,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,696,33%
3,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,696,41%
3,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,696,12%
4,2015,Enbridge Pipelines Inc.,Canadian Mainline,Regina,679.5,42%
4,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,679.5,45%
5,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,636.8,42%
5,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,636.8,7%
6,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,610.9,42%
7,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,612.4,31%
8,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,622.2,29%
9,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,569.2,16%
10,2015,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,557.2,3%
10,2015,Enbridge Pipelines Inc.,Canadian Mainline,Superior,557.2,19%
10,2015,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,557.2,19%
10,2015,Enbridge Pipelines Inc.,Canadian Mainline,Westover,557.2,18%
11,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,609.6,16%
11,2015,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,609.6,24%
11,2015,Enbridge Pipelines Inc.,Canadian Mainline,Westover,609.6,17%
12,2015,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,619.7,19%
12,2015,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,619.7,9%
1,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,489.3,17%
1,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,489.3,3%
1,2014,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,489.3,53%
2,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,486.4,13%
2,2014,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,486.4,54%
2,2014,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,486.4,6%
3,2014,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,478.8,10%
3,2014,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,478.8,5%
4,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,472,3%
4,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,472,9%
4,2014,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,472,36%
5,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,479.7,11%
5,2014,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,479.7,32%
5,2014,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,479.7,17%
6,2014,Enbridge Pipelines Inc.,Canadian Mainline,Hardisty,522,16%
6,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,522,23%
6,2014,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,522,5%
7,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,541.7,34%
7,2014,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,541.7,12%
8,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,539.9,17%
8,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,539.9,30%
9,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,526.1,25%
10,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,569.4,33%
10,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,569.4,25%
10,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,569.4,30%
10,2014,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,569.4,30%
10,2014,Enbridge Pipelines Inc.,Canadian Mainline,Sarnia,569.4,21%
11,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,656.2,43%
11,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,656.2,13%
11,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,656.2,33%
11,2014,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,656.2,27%
12,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,671.6,41%
12,2014,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,671.6,22%
12,2014,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,671.6,12%
12,2014,Enbridge Pipelines Inc.,Canadian Mainline,Superior,671.6,42%
12,2014,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,671.6,32%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,455.4,10%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,455.4,20%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,455.4,10%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,455.4,12%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,455.4,5%
1,2013,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,455.4,4%
2,2013,Enbridge Pipelines Inc.,Canadian Mainline,Hardisty,452.6,7%
2,2013,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,452.6,7%
2,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,452.6,21%
2,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,452.6,12%
2,2013,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,452.6,8%
3,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,412.6,37%
3,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,412.6,10%
3,2013,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,412.6,11%
4,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,392.3,11%
4,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,392.3,14%
5,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,413.1,17%
6,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,436.1,32%
7,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,433.5,27%
7,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,433.5,7%
8,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,454.7,25%
8,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,454.7,32%
9,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,458.5,28%
9,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,458.5,7%
9,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,458.5,6%
10,2013,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,470.5,12%
10,2013,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,470.5,7%
10,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,470.5,32%
10,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,470.5,12%
11,2013,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,510.8,15%
11,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,510.8,36%
11,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,510.8,17%
12,2013,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,490.6,10%
12,2013,Enbridge Pipelines Inc.,Canadian Mainline,Edmonton,490.6,6%
12,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,490.6,30%
12,2013,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,490.6,45%
12,2013,Enbridge Pipelines Inc.,Canadian Mainline,Superior,490.6,11%
1,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,443.4,22%
2,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,456.3,18%
3,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,453.7,27%
4,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,457.8,19%
5,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,409.8,16%
6,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,434.2,17%
7,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,446.2,26%
8,2012,Enbridge Pipelines Inc.,Canadian Mainline,N/A,415.6,0%
9,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,408.3,20%
9,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,408.3,13%
9,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,408.3,8%
10,2012,Enbridge Pipelines Inc.,Canadian Mainline,Hardisty,414.8,8%
10,2012,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,414.8,8%
10,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,414.8,15%
10,2012,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,414.8,13%
10,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,414.8,10%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,428.9,15%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,428.9,8%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,428.9,15%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,428.9,20%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,428.9,15%
11,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,428.9,17%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Hardisty,470.6,13%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,470.6,13%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,470.6,10%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,470.6,14%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,470.6,10%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,470.6,21%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Superior,470.6,4%
12,2012,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,470.6,12%
1,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,445.8,43%
1,2011,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,445.8,26%
1,2011,Enbridge Pipelines Inc.,Canadian Mainline,Superior,445.8,26%
1,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,445.8,33%
2,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,414.8,16%
2,2011,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,414.8,7%
2,2011,Enbridge Pipelines Inc.,Canadian Mainline,Superior,414.8,7%
2,2011,Enbridge Pipelines Inc.,Canadian Mainline,Superior,414.8,7%
2,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,414.8,23%
3,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,376.9,14%
3,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,376.9,19%
4,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,359.6,17%
4,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,359.6,8%
5,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,364,10%
5,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,364,7%
6,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,378.3,23%
6,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,378.3,11%
6,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,378.3,6%
7,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith, N/A ,25%
7,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge, N/A ,5%
7,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston, N/A ,4%
8,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,387.7,21%
8,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,387.7,13%
9,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,398.2,21%
9,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,398.2,2%
9,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,398.2,4%
10,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,405,4%
10,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,405,8%
10,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,405,7%
11,2011,Enbridge Pipelines Inc.,Canadian Mainline,Griffith,417,8%
11,2011,Enbridge Pipelines Inc.,Canadian Mainline,Stockbridge,417,5%
11,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,417,18%
12,2011,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,427.1,23%
1,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,373.9,0%
2,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,357,0%
3,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,365.1,0%
4,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,373.8,0%
5,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,386.3,0%
6,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,393.5,0%
7,2010,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,392.9,4%
7,2010,Enbridge Pipelines Inc.,Canadian Mainline,Hardisty,392.9,4%
7,2010,Enbridge Pipelines Inc.,Canadian Mainline,Kerrobert,392.9,4%
7,2010,Enbridge Pipelines Inc.,Canadian Mainline,Cromer,392.9,4%
8,2010,Enbridge Pipelines Inc.,Canadian Mainline,N/A,365.9,0%
9,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,364,23%
9,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,364,26%
10,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,371.3,31%
10,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,371.3,25%
11,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,406.6,9%
11,2010,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,406.6,9%
11,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,406.6,9%
11,2010,Enbridge Pipelines Inc.,Canadian Mainline,Lewiston,406.6,9%
12,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,444.8,27%
12,2010,Enbridge Pipelines Inc.,Canadian Mainline,Flanagan,444.8,27%
12,2010,Enbridge Pipelines Inc.,Canadian Mainline,Superior,444.8,27%
