"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"2267","oil price info services","2013-12-17","Clarification around GiC's approval of LNG export licence decisions. ","Provided overview of the decision process and referred to NRCan. ","2013-12-17","print/web","other major application"
"2268","reuters","2013-12-18","Looking for link to Imperial's filing on MGP","Directed her to filing in Reg Docs","2013-12-18","print/ web","northern application"
"2269","ctv edmonton","2013-12-18","Will there be a news conference for the Gateway announcement?","Yes; provided details to lock-up","2013-12-18","tv","northern gateway"
"2270","cbc radio vancouver","2013-12-18","How many people participated in the process? Whats the difference between oral statement and oral evidence?","Faqs; Provided numbers","2013-12-18","radio","northern gateway"
"2271","cknw news talk 980","2013-12-18","What options does the Panel have in making its decision and what are the next steps?","Described next steps, Used FAQs to discuss panel options","2013-12-18","radio","northern gateway"
"2272","bloomberg news","2013-12-18","Status of TMPL pressure restriction","Still in effect on entire line","2013-12-18","print/web","safety and environmental protection"
"2273","radio-canada","2013-12-19","Timelines for Line 9B RFD","Provided link to PU #2 and explained that the Board has until March 29 to render its decision.","2013-12-19","radio","line 9"
"2274","ipolitics","2013-12-19","Questions about the NEB's MOU with DFO","Provided details about the NEB's expanded mandate and how the Board is fully capable of fulfilling those requirements.","2013-12-19","web","neb authority"
"2275","cbc north","2013-12-19","Looking for link to Imperial's filing on MGP","Sent link to filing in Reg Docs","2013-12-19","radio","northern application"
"2276","vancouver observer","2013-12-19","Why do Panel Members/NEB Chair not do interviews?","This is typical practice. The NEB is a quasi-judicial organization and it operates much like a court of law. As part of our commitment to natural justice, a panel cannot provide one individual or group with additional information that is not provided to all parties. A Panel’s recommendation report includes their recommendation and the reasons behind them. The report speaks for itself.","response by email on 19 Dec","web","northern gateway"
"2277","ap","2013-12-19","Requesting info about the lock-up; copy of the press release","Provided lock-up info","2013-12-19","print","northern gateway"
"2278","globe and mail","2013-12-19","What are the 10 new conditions? Which 12 conditions from the original 199 were changed and what was changed?","there were 12 substantive changes made to the conditions not 12 conditions changed. For example in conditions 145-147 geohazard specialists are now defined. This one change affected 3 conditions; Provided table of new conditions","2013-12-20","print","northern gateway"
"2279","edmonton journal","2013-12-19","Where in the report does it spell out economic benefits/spinoffs?","Directed him to section 9, Volume 2","2013-12-20","print","northern gateway"
"2280","radio-canada","2013-12-19","How many days does the federal government have to respond to report?","180 days","2013-12-19","radio","northern gateway"
"2281","sun news network","2013-12-19","What are the next steps? How did the Panel come up with the conditions?","Used FAQs;  ","2013-12-19","tv","northern gateway"
"2282","bnn","2013-12-19","What are the next steps? Why does the panel not do interviews? Can the government ask NEB to change conditions? How are conditions formed? Who regulates project?","Used FAQs; NEB is a lifecycle regulator who will monitor project from beginning to end","2013-12-19","tv","northern gateway"
"2283","sun news network","2013-12-19","Looking for number of days of hearing,number of hearing locations, number of interventions submitted","Provided numbers based on fact sheet","2013-12-19","tv","northern gateway"
"2284","terrace standard","2013-12-19","How many days does the federal government have to respond to report?","180 days","2013-12-19","print","northern gateway"
"2285","international environment reporter","2013-12-19","What happens after the JRP report? If not approved, can Enbridge re-apply?","Explained next steps; Enbridge can reapply","2013-12-19","web","northern gateway"
"2286","news conference for northern gateway","2013-12-19","What happens next? How many aboriginal groups participated? How many conditions were changed? Why did the Panel not mention a particular Aboriginal group in their report? Which of the conditions referenced $$? Why is the cost of the project different from what Enbridge is reporting?","Replied using FAQs, Backgrounder and Fact Sheet as appropriate; Cannot provide extra explanation beyond what's in the report; Ask Enbridge why their numbers are different from their updated cost estimate","2013-12-19","tv, radio and print","northern gateway"
"2287","canadian press","2013-12-19","How many conditions changed? What are the next steps?","there were 12 substantive changes made to the conditions not 12 conditions changed. For example in conditions 145-147 geohazard specialists are now defined. This one change affected 3 conditions; Provided table of new conditions","2013-12-19","print","northern gateway"
"2288","ipolitics","2013-12-19","What are the next steps? How did the Panel come up with the conditions?","Responded using FAQs; ","2013-12-19","web","northern gateway"
"2289","terrace standard","2013-12-19","Are the conditions not technically binding given that GIC can ask for them to be changed? Is this a lot of conditions in comparison to other projects?","Yes, conditions are legal requirements; A large number of conditions, but not an unheard of number","2013-12-20","print","northern gateway"
"2290","cbc north","2013-12-20","Looking for a rationale as to why the NEB imposed a condition that required company to indicate by end of December 2013 whether they were going to build the Mackenzie Gas Pipeline, and the cost estimate - if they NEB wasn't going to require the company give 2 years notice (certificate expires in 2015). Also wanted to know if the company could just start buliding the pipeline at any time.","Indicated that we could not expand upon the resons for decision - they speak for themselves - however I also indicated that a number of conditions need to be met before construction on the project could begin - and that construction couldn't just start without notice.","2013-12-23","radio/ tv","northern application"
"2291","vancouver observer","2013-12-20","Where are the conditions? What are the next steps? Given that NEB is based in Calgary, does the oil and gas influence the panel's decision?","Pointed out the conditions, explained next steps as per FAQ, said Panel is absolutely not influenced by oil and gas industry","2013-12-20","web","northern gateway"
"2292","globe and mail","2013-12-20","Are grizzly bears mentioned specifically in the conditions?","No, but other conditions for environmental monitoring would touch on the grizzly bear.","2013-12-20","print","northern gateway"
"2293","burnaby now","2013-12-20","What are the next steps for TMX application?","ATP opens in mid-January; Panel will take time to determine if application is complete, then issue hearing order","2013-12-20","print","trans mountain"
"2294","telegraph journal","2013-12-23","General process questions about Energy East. ","Provided overview of Hearing process. ","2013-12-23","print/web","energy east"
"2295","globe and mail","2013-12-30","looking for tips on how to use Reg Docs so they can quickly see most recent information filed with the Board","provided brief tutorial","2013-12-30","print","general inquiry"
"2296","snl energy reporter","2013-12-31","Looking for LNG application","Provided link. ","2014-01-01","print/web","other major application"
"2297","toronto star","2014-01-01","Info on O&M reporting by companies to the NEB","Provided link to guidelines on NEB website: ","2014-01-06","print/web","safety and environmental protection"
"2298","midstream business magazine","2014-01-02","Various questions about what to expect from the NEB and industry in 2014","KM - #762259","2014-01-07","print","general inquiry"
"2299","the tyee","2014-01-03","Mr Caron will be giving an ""off the record"" talk at the Petroleum Club on January 13th sponsored by the CD Howe Institute?
 
1.) How many ""off the record"" talks does Caron give to industry?
 
2.) How many ""of the record"" talks does he give to landowners and First Nations?
 
3.) Is it appropriate for a regulator to give ""off the record"" talks to energy lobbyists?
 
4.) Robyn Allan, a BC economist, asks this:
 
>> Either the CD Howe Institute is misrepresenting the presentation (but the only way to get to the luncheon is to be a member or be a members' guest) or the Chairman is engaging in entirely inappropriate activities by talking off the record about an industry he regulates.
 
Any comment?
","The NEB does not give “off-the-record” talks.
The speech that the Chair is scheduled to deliver at the C.D. Howe institute on January 13 is also not off-the record. Like all of the speeches given by our Chair and member of the Board, this speech will  be posted on our website on the day it is delivered. The C.D. Howe did not consult with us on how they promoted event.
 
You will find the link to our speeches and presentations in the left hand column on our website www.neb-one.gc.ca  – towards the botNAME REMOVED of the page under Publications.
","2014-01-06","web","general inquiry"
"2300","rasgas","2014-01-06","Looking for clarification about LNG decision pending GiC approval","Explained approval process and the export licenses are decisions, not recommendations","2014-01-06","web","other major application"
"2301","mea","2014-01-06","When can someone submit comments about the Pieridae LNG application? ","Board has not opened a comment period yet. General info on process and referred to What's New RSS feed. ","2014-01-06","web","other major application"
"2302","cbc radio","2014-01-06","What is expected price of crude for 2014? What factors lead to this price? Can you explain the price discount between WTI and Brent?","ML - #762964","2014-01-07","radio","general inquiry"
"2303","cbc news","2014-01-07","Update on releasing Line 9B decision.","explained timelines to release decision","2014-01-07","radio","line 9"
"2304","burnaby now","2014-01-08","When does ATP for TMX open?","Mid-January; Provided link to NEB letter issued to Trans Mountain","2014-01-08","print","trans mountain"
"2305","postmedia news","2014-01-09","When was the Northern Gateway hearing order issued? Is it normal to issue the hearing order after ATP wraps up? Is the NEB trying to limit participation? Is the information about the ATP deadlines on the NEB website?","Provided links to Gateway hearing orders; Discussed NEB hearing process; Said almost all NEB hearings have traditionally been conducted within the 15-month time frame; It's not unusual for steps in the process to be swapped out; We have always been committed to an efficient hearing process; provided a copy of the latest process update","2014-01-09","print","trans mountain"
"2306","burnaby news leader","2014-01-09"," Is it normal to issue the hearing order after ATP wraps up? Is the NEB trying to limit participation? Is the information about the ATP deadlines on the NEB website?","Discussed NEB hearing process; Said almost all NEB hearings have traditionally been conducted within the 15-month time frame; It's not unusual for steps in the process to be swapped out; We have always been committed to an efficient hearing process; provided a copy of the latest process update","2014-01-09","print","trans mountain"
"2307","radio canada","2014-01-09","Various questions about what the NEB does and major projects in 2014","Provided overview","2014-01-13","radio","general inquiry"
"2308","mbc radio","2014-01-10","NEB MOU w. DFO","Explained how the EA process will not change significantly from the NEB's perspective.","2014-01-14","radio","safety and environmental protection"
"2309","le devoir","2014-01-10","NEB MOU w. DFO. Provided emailed responses, which was followed up with formal interview.","Explained how the EA process will not change significantly from the NEB's perspective.","2014-01-14","print","safety and environmental protection"
"2310","argus media","2014-01-10","What is Long Lake oilsands production? ","Confirmed stats. ","2014-01-13","print/web","general inquiry"
"2311","burnaby news leader","2014-01-10","Further questions about why TMX hearing process is different from previous hearings","Legislative change calls for15-month time limit on hearings; NEB has always strived for efficiency","n/a","print","trans mountain"
"2312","the suburban","2014-01-12","Update on releasing Line 9B decision.","explained timelines to release decision","n/a","print","line 9"
"2313","upstream magazine","2014-01-13","The story on the Mackenzie Gas Project will be the anchor feature for a larger package I’m working on looking at Northern Development. As such, it will look at the project’s history, regulatory filings, and the simple fact that nothing like this had been proposed in Canada before this came along. Is there someone at NEB that can talk about the project from the beginning and how regulators dealt with something of this magnitude.","Setting up interview with NAME REMOVED who worked on the project - Providing timeline background information. Will also provide information about how regulatory landscape has changed since","2014-02-13","print","other major application"
"2314","bloomberg news","2014-01-14","Information about Jordan Cove LNG","Provided link. ","2014-01-14","print/web","other major application"
"2315","news1130","2014-01-14","When does ATP for TMX open? What is criteria for being intervenor","Confirmed dates for ATP, provided info from website on participating in a NEB hearing","n/a","radio","trans mountain"
"2316","the guardian p.e.i","2014-01-14","Looking for estimate of P.E.I.'s natural gas reserves,","We don't have one","n/a","print","general inquiry"
"2317","platts","2014-01-15","Where is the Oregon LNG application? ","Sent link to filing in Reg Docs","n/a","print/web","other major application"
"2318","vancouver observer","2014-01-16","Why is the TMX process different from the Gateway review process? Will there be oral statements for TMX? Why will the board not consider upstream/downstream issues? Were there oral statements for Line 9B? Which other processes have included ATP? Has the ATP form changed?","Gateway was a JRP process which is different from a typical NEB hearing; Process for TMX will be laid out in the hearing order; Provided Gateway by the Numbers primer; We are committed to continual improvement and have produced an easier and simpler ATP form.","2014-01-16","web","trans mountain"
"2319","hinton voice","2014-01-17","Questions about the TMX process and the NEB hearing process in general.","Discussed the process and provided links to Public Participation from NEB site","2014-01-17","print","trans mountain"
"2320","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","tv/radio/web","safety and environmental protection"
"2321","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2322","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2323","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2324","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2325","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","tv/web","safety and environmental protection"
"2326","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","tv/web","safety and environmental protection"
"2327","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2328","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2329","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","tv/radio/web","safety and environmental protection"
"2330","name removed","2014-01-18","Enbridge oil spill near Regina","provided incident update","2014-01-18","print/web","safety and environmental protection"
"2331","burnaby now","2014-01-20","Asking about the TMX ATP process; Kennedy Stewart says the NEB has not been as forthcoming about the ATP process - comment?","Provided link to completed ATP submissions, reminded her of ATP training sessions; NEB has no interest in preventing people from participating - we want to hear from directly affected people","2014-01-20","print","trans mountain"
"2332","northern journal","2014-01-20","Status of NEB discussions with NWT on devolution technical services provision","","","","arctic"
"2333","the eagle (radio)","2014-01-21","Questions around ATP for TMX","Explained who can apply and directed listeners to the ATP form on the website","2014-01-21","radio","trans mountain"
"2334","toronto star","2014-01-21","What is the process for notifying the public about s. 58 applications? How was the public notified for Line 7? How can the public get involved in a s. 58 application? Why were there no public hearings for Line 7>","Provided link to reg docs for line 7; Discussed NEB process for s.58","2014-01-21","print","general inquiry"
"2335","kathryn marlow","2014-01-21","Discussion of how ATP works; When is the TMX hearing?","Provided link to ATP process update for Line 9; Advised that hearing order for TMX had not yet been released","2014-01-21","radio","trans mountain"
"2336","cfru","2014-01-21","Can I record the NEB 101 presentation? ","Yes.","2014-01-21","radio","general inquiry"
"2337","24 hours vancouver","2014-01-21","the NEB and the Department of Fisheries & Oceans Memorandum Understanding","media lines","2014-01-21","print","general inquiry"
"2338","global bc","2014-01-23","Can NEB representative particpate in a roundtable discussion about MOU with DFO in relation to TMX","Statement from media lines provided to Jeff","n/a","tv","trans mountain"
"2339","energywire","2014-01-27","When does the TMX hearing start? Once the hearing starts, how long before a decision? Will the TMX Panel consider pipeline capacity given that Gateway has conditional approval?","Hearing Order for TMX has not yet been released; Provided media lines on timeframe; Provided list of issues","2014-01-27","online","trans mountain"
"2340","radio-canada vancouver","2014-01-27","Update on TCPL Manitoba Incident.","media lines","2014-01-27","tv","safety and environmental protection"
"2341","cbc news","2014-01-27","Update on TCPL Manitoba Incident.","media lines","2014-01-27","tv","safety and environmental protection"
"2342","bloomberg news","2014-01-27","Update on TCPL Manitoba Incident.","media lines","2014-01-27","print","safety and environmental protection"
"2343","ctv calgary","2014-01-27","Propane pricing/ Alberta angle","Meda lines + interview with Technical Expert","2014-01-28","tv","general inquiry"
"2344","le fleur (?)","2014-01-27","Propane pricing","Media Lines","2014-01-27","print","neb authority"
"2345","hinton parklander","2014-01-29","Questions around process for TMX review","Media lines ","2014-01-29","print","trans mountain"
"2346","sun media","2014-01-29","Volume of Crude being shipped by rail to Kindston","Link to Stats Canada","2014-01-29","print","general inquiry"
"2347","cbc toronto","2014-01-30","Questions on PRML Rupture Investigation Report","provided answers using approved media lines","2014-02-03","tv/radio/web","safety and environmental protection"
"2348","vanessa","2014-02-03","Inquiry on Enbirdge Pipeline in Northern Alberta","","","","safety and environmental protection"
"2349","tri-city news","2014-02-03","Which municipalities in the Lower Mainland have applied for Intervenor status? What does intervenor mean? Any dates, times or places for hearing?","Provided link to ATP applications; Discussed what intervenor status means and indicated that hearing details will be in hearing order","2014-02-03","print","trans mountain"
"2350","vancouver observer","2014-02-04","How many ATPs for TMX to date? When will the NEB rule on whether oral presentations will be heard?","Provided link to ATP applications; Indicated that hearing details will be in the hearing order","2014-02-04","web","trans mountain"
"2351","cbc radio vancouver","2014-02-04","How to convince BC residents that TMX Panel has their interests in mind? How does past energy experience influence decision? How will you ensure Aboriginal voices are heard? What does it mean to be directly affected? Is 15 months longenough? Is approval a foregone conclusion? Why not consider social license?","Transcript available","2014-02-04","radio","trans mountain"
"2352","radio canada","2014-02-04","What is the Panel's mandate? Are any of the list of issues more of a priority than others? Do you think the NEB is being transparent with this process? How will you convince BC residents that you will consider the environment? Is 15 months enough time? Is the Board impartial? Where are you at with the process?","Transcript available","2014-02-04","radio","trans mountain"
"2353","global tv","2014-02-04","When is the deadline for the Application to participate for TMX? Is this an open process? How far does the definition of directly affected go? What has been the response from British Columbians? Does the perspective change from BC to Alberta? When do applicants know if they can participate?","Transcript available","2014-02-04","tv","trans mountain"
"2354","burnaby now","2014-02-04","How will the NEB handle a proposed route change by Kinder Morgan? What are your personal backgrounds? How is the project being reviewed? How can people participate?","Provided Panel's background; Discussed how Board appointments are carried out; Discussed a detailed route hearing process; discussed ATP process","2014-02-04","print","trans mountain"
"2355","cbc","2014-02-04","Will the NEB consider upstream effects or downstream use in its assessment of Energy East? ","Clarified that we have not yet made a decisio non the List of Issues.","2014-02-04","print/web","energy east"
"2356","cbc north","2014-02-05","Confirm dates for North Montney hearing","Confirmed dates. ","2014-02-05","print/web","other major application"
"2357","cbc - winnipeg","2014-02-05","Inquiry about a rumour of an unreported incident in the Carman, MB area.","responded using media lines.","2014-02-05","tv",""
"2358","the jasper fitzhugh","2014-02-05","Questions around pipelin integrity and aging pipelines related to TMX","Provided response to questions","n/a","print","safety and environmental protection"
"2359","burnaby now","2014-02-06","If KM changes their preferred route through Burnaby, will ATP be extended for those who weren't previously aware of the route? How does a detailed route hearing work:?","Anyone could file a letter with the Board to request that ATP be reopened for a particular reason; Explained detailed route hearing","2014-02-06","print/web","trans mountain"
"2360","canadian press","2014-02-06","Does the NEB always contact local law enforcement when conducting a hearing security assessment? What are the Board's practices around hearing security?","Media lines in CAMS","2014-02-06","print/web","general inquiry"
"2361","the suburban - laval","2014-02-07","Update on releasing Line 9B decision.","explained timelines to release decision / media advisory and distribution list email.","2014-02-07","print","line 9"
"2362","the suburban - west island","2014-02-07","Update on releasing Line 9B decision.","explained timelines to release decision / media advisory and distribution list email.","2014-02-07","print","line 9"
"2363","northern news service","2014-02-07","confirming the details of the water spill at the  ConocoPhillips fracking site","confirmed details that were in the incident report. Also indicated that it was considered non-reportable, but the company informed us as a courtesy","2014-02-07","online","northern application"
"2364","the province","2014-02-11","Questions about ATP process for TMX","Explained the process, next steps and the number of applications received to date","2014-02-12","print","trans mountain"
"2365","the straight","2014-02-11","What happens if Trans Mountain does not reach a benefits agreement with all affected Aboriginal groups? Could an Aboriginal community be moved to accommodate the project?","NEB does not look at benefits agreement; Board will look at record of consultation and assess the impacts of the project on Aboriginal groups","2014-02-11","web","trans mountain"
"2366","chnl radio kamloops","2014-02-11","Questions about TMX ATP","Discussed ATP process, next steps and applications received to date","2014-02-11","radio","trans mountain"
"2367","globe and mail","2014-02-11","Questions about ATP process for TMX; Who has applied to participate","Explained the process, next steps and the number of applications received to date","2014-02-11","print","trans mountain"
"2368","radio canada","2014-02-11","Questions about propane. ","Media lines in CAMS","2014-02-11","radio","general inquiry"
"2369","ipolitics","2014-02-12","NEB's annual budget granted by Feds","statistic","n/a","web","general inquiry"
"2370","cbc radio vancouver","2014-02-12","How many applications to participate in TMX received? What are the next steps? Is this an extraordinary number of applications?","Explained process, provided numbers, said this is a substantial number of applications","2014-02-12","radio","trans mountain"
"2371","vancouver observer","2014-02-12","How many applications to participate in TMX received? What are the next steps? Who has applied to participate? How will the NEB respond to requests for extension?","Provided numbers; explained process; provided links to letters regarding the extension requests","2014-02-12","web","trans mountain"
"2372","globe and mail","2014-02-12","How much crude oil has Canada exported to India?","Bulk of crude exports go to US; Only a small amount goes to another destination and b/c this is comercially sensitive info, we do not provide the destination. Provided link to numbers on website","2014-02-12","print","general inquiry"
"2373","radio canada vancouver","2014-02-12","Was the deadline to file ATPs changed for TMX?","Deadline extended to midnight on 12 Feb from noon","2014-02-12","radio","trans mountain"
"2374","news1130","2014-02-13","How many ATPs for TMX? What are the next steps? How does the Board detrmine who is an intervenor and who is not accepted? How do the number of applications compare to Gateway?","Provided numbers and next steps for ATP; Provided numbers for Gateway","2014-02-13","radio","trans mountain"
"2375","burnaby now","2014-02-13","How many apps for TMX? Next steps? How will NEB deal with requests for extension? Why are there two study corridors for Burnaby? Is this unusual?","Provided info on numbers and next steps; Provided numbers on level of participation from other hearings; Discussed legislative changes","2014-02-13","print/web","trans mountain"
"2376","cjdc tv","2014-02-13","How likely is it that the city of Fort St. John will be accepted as a hearing participant? What are the next steps? Where will the hearing be?","Cannot pre-judge what the Board may do re ATP; Provided next steps; Hearing details will be in the hearing order","2014-02-13","tv","trans mountain"
"2377","canadian press","2014-02-13","How many ATPs for TMX? What are the next steps? How does the Board detrmine who is an intervenor and who is not accepted? How long will it take to review the ATPs?","2131 applications; Described next steps; Discussed hearing order","2014-02-13","print","trans mountain"
"2378","globe and mail","2014-02-13","Questions about ATP for TMX including number of applications received and who applied","Provided information as per website","2014-02-13","print","trans mountain"
"2379","blackpress media","2014-02-13","How many ATPs received for TMX? How does the Board decide who gets standing? Where will the hearing be held? When will bhe Board complete its review of the application? Which municipalities applied? How has the Board handled the requests for an extension to the ATP period?","Provided info as per website; Discussed process; Location and date of hearing will be in HO; Provided update on motions to extend ATP","2014-02-13","print/web","trans mountain"
"2380","daily oil bulletin","2014-02-18","How many applications for participation in TMX?","2132","2014-02-18","print","trans mountain"
"2381","radio-canada","2014-02-18","Update on releasing Line 9B decision.","explained timelines to release decision / media advisory and distribution list email.","2014-02-18","radio","line 9"
"2382","globe and mail","2014-02-19","What was the Board's decision on the EPA application to extend the ATP deadline for TMX?","Provided link to NEB letter to EPA","2014-02-19","print","trans mountain"
"2383","daily oil bulletin","2014-02-20","Update on releasing Line 9B decision.","explained timelines to release decision / media advisory and distribution list email.","2014-02-20","web","line 9"
"2384","platts","2014-02-21","When will the Oregon LNG decision come out?","Take time required to conduct a thorough assessment. Unlike US, we do not have a timetable for approvals. ","2014-02-21","print/web","other major application"
"2385","intelligence press inc.","2014-02-21","What is conversion to bcf/d? ","Provided imperial data. ","2014-02-21","print/web","other major application"
"2386","globe and mail","2014-02-24","Info on TCPL IMP Audit report","Responded using approved media lines.","2014-02-24","print/web","safety and environmental protection"
"2387","globe and mail","2014-02-24","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-24","print/web","safety and environmental protection"
"2388","bloomberg news","2014-02-24","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-24","print/web","safety and environmental protection"
"2389","cbc calgary","2014-02-24","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-24","print/web","safety and environmental protection"
"2390","daily oil bulletin","2014-02-24","Info on TCPL IMP Audit release","Responded using approved media lines","2014-02-24","print/web","safety and environmental protection"
"2391","global tv regina","2014-02-24","Update on Mowatt Station release","no new information","2014-02-24","tv/web","safety and environmental protection"
"2392","cbc national tv","2014-02-24","Interview request with Patrick Smyth on release of TCPL IMP audit report","responded using approved media lines","2014-02-24","tv/web","safety and environmental protection"
"2393","globe and mail","2014-02-24","Timelines for Line 9B RFD ","explained timelines to release decision / media advisory and distribution list email.","2014-02-24","print/web","line 9"
"2394","cbc national tv","2014-02-25","Timelines for Line 9B RFD and is the NEB decision final or does it need to be sent to GIC for approval?","explained timelines to release decision / media advisory and distribution list email.","2014-02-25","tv/web","line 9"
"2395","reuters","2014-02-25","Info on TCPL IMP Audit release","Responded using approved media lines","2014-02-25","print/web","safety and environmental protection"
"2396","cbc radio regina","2014-02-25","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-25","print/web","safety and environmental protection"
"2397","vancouver observer","2014-02-25","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-25","print/web","safety and environmental protection"
"2398","the suburban (laval)","2014-02-25","Timelines for Line 9B RFD","Repeated timelines","2014-02-25","print/web","line 9"
"2399","cbc radio french calgary","2014-02-25","Info on TCPL IMP Audit report","Responded using approved media lines","2014-02-25","tv/web","safety and environmental protection"
"2400","vancouver observer","2014-02-26","Has the NEB replied to Kennedy Stewart's request for extension to ATP deadline for TMX? Why did Kinder Morgan not submit all maps as part of online application?","Provided link to NEB's letter to Kennedy Stewart; Advised that maps were available as part of TMX submission","2014-02-26","web","trans mountain"
"2401","radio canada","2014-02-26","When are you expecting Energy East PD?","Referred to TransCanada ","2014-02-26","radio","energy east"
"2402","radio-canada","2014-02-28","Update about Line 9B release of RFD","Provided update and explained release process.","2014-02-28","radio","line 9"
"2403","lac la biche post","2014-02-28","Pipeline Safety","Responded using approved media lines","2014-02-28","print/web","safety and environmental protection"
"2404","daily oil bulletin","2014-02-28","Wanting to know if the NEB is considering requiring companies to disclose Fracking Fluids, or can require"," Well information is privileged under CPRA - legislation would need to be changed for NRCan for us to be able to require it. Told him about proposed changes under NAME REMOVED C-22 - which need to be passed by Parliament","2014-03-05","online","neb authority"
"2405","cbc news","2014-03-03","Timelines for Line 9B RFD ","Explained release timelines and decision making process.","2014-03-03","tv","line 9"
"2406","globe and mail","2014-03-03","Did the NEB direct Kinder Morgan to file letter about what it means to be directly affected? Was Devon allowed an extension to ATP?","Did not direct Kinder Morgan to file letter; Devon application was received hours after ATP was closed","2014-03-03","print/web","trans mountain"
"2407","la terre de chez-nous (upa)","2014-03-04","Line 9B - RFD, need for additional permits and consideration of the report drafted by the Quebec provincial government.","Explained RFD release and responded to other questions using existing media lines.","2014-03-04","print/web","line 9"
"2408","the sudburban (laval)","2014-03-04","Line 9B release of RFD","Repeated timelines","2014-03-04","print/web","line 9"
"2409","hamilton spectator","2014-03-04","Info on Preliminary Propane Report ","As per media lines","2014-03-03","print","general inquiry"
"2410","cbc news","2014-03-05","Confirmed timing of release of Line 9B RFD + s. 58and decision vs s. 52 and recommendation.","As per media lines","2014-03-05","tv","line 9"
"2411","all nova scotia","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","web","energy east"
"2412","cbc radio sudbury","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","radio","energy east"
"2413","qp briefing","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","web","energy east"
"2414","telegraph journal","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","print/web","energy east"
"2415","radio canada","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","radio","energy east"
"2416","radio canada","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","radio","energy east"
"2417","radio canada","2014-03-05","General process questions about Energy East relating to PD filing","As per media lines","2014-03-05","tv","energy east"
"2418","cklb","2014-03-05","Left her a message to call me back with questions - this is the 2nd time I have returned her call and left a msg","","2014-03-05","","general inquiry"
"2419","cbc radio","2014-03-05","What does it mean to replace a pipe? What's the difference between abandonement, de-commisioning and de-activation? Is it common to leave pipe in the ground?","Provided explanation, high level comments, the steps taken will depend on what is appropriate re: safety and environmental protection","2014-03-05","radio","other major application"
"2420","cbc radio","2014-03-05","Release of Line 9B RFD","Explained release timelines and decision making process.","2014-03-05","radio","line 9"
"2421","cbc news","2014-03-05","Confirmation of release timing.","Confirmed timing and roll out of RFD","2014-03-05","tv","line 9"
"2422","cbc calgary","2014-03-05","Confirmation of release timing + clarification about s. 58 and decision vs. s.52 and recommendation","Confirmed timing and rpovided clarification about s. 58 and decision","2014-03-05","radio","line 9"
"2423","ctv","2014-03-06","Release of Line 9B RFD. Wanted an interview","Confirmed timing and roll out of RFD. Could not accommodate interview request due to tight timelines.","2014-03-06","tv","line 9"
"2424","radio-canada / cbc","2014-03-06","Release of Line 9B RFD + arrangements for interview in French and English","Confirmed release timelines and interview following media phone-in.","2014-03-06","tv","line 9"
"2425","hudson gazette","2014-03-06","Release of Line 9B RFD ","Confirmed release timelines + invitation to participate in media phone-in.","2014-03-06","print","line 9"
"2426","rabble.ca","2014-03-06","Release of Line 9B RFD.","Confirmed release timelines.","2014-03-06","online","line 9"
"2427","radio-canada","2014-03-06","Release of Line 9B RFD.","Confirmed release timelines.","2014-03-06","radio","line 9"
"2428","ctv","2014-03-06","Release of Line 9B RFD","Confirmed release timelines.","2014-03-06","tv","line 9"
"2429","tva","2014-03-06","Release of Line 9B RFD","Confirmed release timelines","2014-03-06","tv","line 9"
"2430","vermont radio station","2014-03-06","Release of Line 9B RFD","Confirmed release timelines","2014-03-06","radio","line 9"
"2431","cbc radio","2014-03-06","Release of Line 9B RFD","Confirmed release timelines","2014-03-06","radio","line 9"
"2432","now magazine","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","online","line 9"
