refno,date_incident,date_notification,company,city,type,product,volume,status,summary
20150526,2015-02-22,2015-02-22,Harvest Operations Corp.,Provost (20 km NE),Facility,Crude Oil and Salt/Produced Water,1 m3 and 4 m3 respectively,No emergency phase.,A mechanical failure on a valve caused a tank to overflow resulting in a sour product release. The product remained on lease and cleanup is underway. No reported impacts to wildlife or waterbodies.
20143217,2014-12-02,2014-12-02,Secure Energy Services,Grande Prairie (20 km S),Facility,Salt/Produced Water,10 m3,No emergency phase.,Release of produced water from a flange on a tank which stayed on lease. Cleanup is underway. No Reported impacts to waterbodies or wildlife.
20180034,2017-12-23,2017-12-23,Canadian Natural Resources Limited,Spirit River (16 km SW),Pipeline,Crude Oil and Salt/Produced Water,0.5 m3 and 0.5 m3 respectively,No emergency phase,Release of crude due and salt/produced water due to an issue with a pipeline. Line has been shut in and cleanup is underway. No reported impacts to wildlife.
20160486,2016-02-19,2016-02-19,Twin Butte Energy Ltd.,Killarney Lake (5 km SW),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 1.9 m3 respectively,No emergency phase.,Company reported a pipeline failure off-lease from an oil emulsion flow line. Line has been shut in and isolated. Cleanup is underway. No impacts reported to waterbodies or wildlife.
20160489,2016-02-20,2016-02-20,Husky Oil Operations Limited,Lloydminster (17 km SW),Pipeline,Crude Oil and Salt/Produced Water,0.4 m3 and 19.6 m3 respectively,No emergency phase.,Release of produced water due to an issue with a pipeline. Line has been isolated and depressurized. Cleanup is underway and no reported impacts to a waterbody or wildlife.
20160488,2016-02-20,2016-02-20,Penn West Petroleum Ltd.,Swan Hills (7 km SW),Well,Crude Oil and 2 and Salt/Produced Water,2 m3 and 0.1 or less m3 and 38 m3 respectively,Emergency phase over.,The Company reported an uncontrolled flow of 40 m3 of emulsion from a well surface casing vent. The released fluid is contained within the lease diking. The flow from the surface casing vent has been stopped. Cleanup is underway and no reported impacts to a waterbody or wildlife.
20151550,2015-06-08,2015-06-08,Cenovus Energy Inc.,Brooks (25 km SE),Facility,Crude Oil,0.1 or less m3,No emergency phase.,Sour release remained in secondary containment. Clean up is underway. No reported impacts to wildlife or waterbodies.
20180038,2018-01-02,2018-01-02,Devon Canada Corporation,Conklin (16 km SE),Pipeline,Crude Bitumen and Salt/Produced Water,1.5 m3 and 3.5 m3 respectively,No emergency phase.,Release of crude due and salt/produced water due to an issue with a pipeline. Line has been shut in and cleanup is underway. No reported impacts to wildlife or a waterbody.
20160171,2016-01-22,2016-01-22,Lone Pine Resources Canada Ltd.,Drumheller (10 km S),Well,Crude Oil and Salt/Produced Water,9.8 m3 and 5.2 m3 respectively,No emergency phase.,Release of product impacted an area 15m X 50m. Cleanup is undrway. No impacts to wildlife or waterbodies.
20160170,2016-01-21,2016-01-21,MPP Ltd.,Okotoks (10 km SE),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Mechanical failure caused the sour product release. No fluids left the site. The line was depressured and shut in. No impacts to wildlife or waterbodies reported.
20180856,2018-03-10,2018-03-10,Obsidian Energy Ltd.,Entwistle (13 km SW),Pipeline,Crude Oil and Process Water,5 m3 and 95 m3 respectively,No emergency phase,Release of emulsion due to a issue on a pipeline. Line has been shut in and cleanup underway. No reported impacts to a wildlife or a waterbody.
20161077,2016-04-18,2016-04-18,Husky Oil Operations Limited,Warner (15 km NE),Pipeline,Crude Oil and Gas Production (Raw) and Salt/Produced Water,0.4 m3 and 0.1 or less &times;&nbsp;103&nbsp;m3 and 3.6 m3 respectively,No emergency phase.,An oil emulsion pipeline failure was reported by the company. The spill is contained and there is about 1&nbsp;m3 of free fluids on surface. The area affected is about 30m x 35m. A vac truck was called out to collect the free fluids. The pipeline has been shut in and isolated. No reported impacts to waterbodies or wildlife.
20160174,2016-01-21,2016-01-21,Birchcliff Energy Ltd.,Worsley (11 km NW),Pipeline,Crude Oil and Salt/Produced Water,3.9 m3 and 46.1 m3 respectively,No emergency phase.,A suspected pinhole leak resulted in the release of product. Line is depressured and delineation as well as cleanup is underway. No impact to wildlife or waterbodies reported.
20170072,2017-01-06,2017-01-06,Canadian Natural Resources Limited,Grand Prairie (81 km E),Well,Crude Oil,18 m3,No emergency phase.,Pinhole leak resulted in release of emulsion that went off lease. Cleanup is underway. No reported impacts to wildlife or waterbodies.
20153338,2015-12-20,2015-12-20,ConocoPhillips Canada Resources Corp.,Hanna (10 km S),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,A release was discovered and all lines were shut in and depressured. Clean up is underway. Cause is unknown at this time. No wildlife or waterbodies were reported to be impacted.
20160179,2016-01-23,2016-01-23,XTO Energy,Slave Lake (60 km N),Pipeline,Salt/Produced Water,15 m3,No emergency phase.,Release impacted 15m X 2m area. Line has been shut in and depressured. Cleanup is underway. No impacts to wildlife or waterbodies reported.
20160072,2016-01-09,2016-01-09,Marquee Energy Ltd.,Craigmyle (10 km W),Well,Crude Oil,2 m3,No emergency phase.,Release of crude oil due to an equipment failure. Cleanup is underway. No reported impacts to wildlife or a waterbody.
20163638,2016-12-08,2016-12-08,Penn West Petroleum Ltd.,Swan Hills (6 km W),Pipeline,Produced Water,20 m3,No emergency phase.,Release of produced water on lease due to an issue with a pipeline. Line has been shut in and cleanup is underway. Nor reported impacts to wildlife or a waterbody.
20160074,2016-01-11,2016-01-11,Penn West Petroleum Ltd.,Evansburg (20 km SW),Facility,Salt/Produced Water,49 m3,No emergency phase.,Release of produced water due to an equipment failure. Cleanup is underway. No reported impacts to wildlife or a waterbody.
20160700,2016-03-09,2016-03-09,Penn West Petroleum Ltd.,Red Earth Creek (60 km NW),Pipeline,Crude Oil and Salt/Produced Water,4 m3 and 16 m3 respectively,No emergency phase.,Release of crude oil and salt/produced water from a pipeline. Line has been isolated. Cleanup is underway and no reported impacts to a waterbody or wildlife.
20170385,2017-02-01,2017-02-01,Rising Star Resources Ltd.,Spirit River (5.5 km S),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 1.4 m3 respectively,No emergency phase,Company reported a valve failure on a pipeline. The product released migrated off lease approximately 40 meters to a low area where it was contained. A vac truck is on site collecting the free fluids. The pipeline has been shut in and the source stopped. No reported impacts to waterbodies or wildlife.
20160092,2016-01-11,2016-01-12,Enerplus Corporation,Camrose (7 km N),Well,Salt/Produced Water,145 m3,No emergency phase.,Release of produced water due to an equipment failure. Cleanup is underway. No reported impacts to wildlife or a waterbody.
20182864,2018-09-02,2018-09-02,Sitka Exploration Ltd.,Sundre (10 km NE),Facility,Crude Oil,0.1 or less m3,Over,Release occurred from a facility. Clean up is underway. No reported impacts to wildlife or waterbodies.
20173628,2017-11-26,2017-11-26,Paramount Resources (TEC) Ltd.,Fox Creek (21 km N),Pipeline,Crude Oil and Salt/Produced Water,2 m3 and 18 m3 respectively,No emergency phase,Release of Crude Oil and Salt/Produced Water off lease. Clean up is underway. No reported impacts to wildlife or waterbodies.
20143042,2014-11-07,2014-11-07,Harvest Operations Corp.,Tilley (10 km E),Pipeline,Salt/Produced Water,0.2 m3,No emergency phase.,Release of Salt/Produced Water due to a pipeline failure. Mitigation including sampling and removal impacted vegetation . No reported impacts to a waterbody or wildlife.
20143280,2014-12-08,2014-12-08,Penn West Petroleum Ltd.,Swan Hills (32 km SW),Pipeline,Salt/Produced Water,0.1 or less m3,No emergency phase.,Release of produced water off lease due to a line failure. Line has been shut in and depressurized. Clean up is underway. No reported impacts to waterbodies or wildlife.
20151031,2015-04-08,2015-04-08,Cenovus Energy Inc.,Jenner (15 km SE),Pipeline,Sour Gas,1 m3 or less,No emergency phase.,A small release was discovered during monitoring. Line was shut in and depressured. No impacts to wildlife or waterbodies reported.
20151032,2015-04-08,2015-04-08,Canadian Natural Resources Limited,Cold Lake (50 km NW),Pipeline,Bitumen,0.1 m3 or less,No emergency phase.,A small crack in a pipeline weld created a slow drip. Containment was created and plans are being developed to repair the leak. No impacts to waterbodies or wildlife were reported.
20182985,2018-09-20,2018-09-20,Canadian Natural Resources Limited,Patricia (9.5 km SE),Pipeline,Salt/Produced Water,100 m3,No emergency phase,Product released off site. Cleanup activities in progress. Line shut in with no reported impacts to waterbodies or wildlife
20171798,2017-06-03,2017-06-03,Trilogy Resources Ltd.,Fox Creek (13 km N),Facility,Crude Oil and 0.7,0.7 m3 and 2.2 m3 respectively,No emergency phase.,Issue with a test line resulted in emulsion release with H2S. Clean up is underway. No reported impacts to wildlife or water bodies.
20171126,2017-04-04,2017-04-04,Little Rock Resources Ltd.,Brooks (38 km SW),Facility,Condensate,0.1 or less m3,No emergency phase,"A small amount of product misted off lease from a flare stack. Clean up is underway, no reported impacts to water bodies or wildlife."
20171655,2017-05-22,2017-05-22,Seven Generations Energy Ltd.,Grande Prairie (80 km SE),Pipeline,Condensate,8 m3,No emergency phase.,"Company reported a failure at a pipeline riser, resulting in the release of sweet condensate. The release was stopped and cleanup is underway. AER Inspector has been onsite working with the company. No impacts to waterbodies or wildlife reported."
20160415,2016-02-11,2016-02-11,Husky Oil Operations Limited,La Glace (16 km N),Well,Crude Oil and Process Water,0.8 or less m3 and 0.4 m3 respectively,No emergency phase.,Release of emulsion on lease due to an issue with a well. Well has been shut in and cleanup is underway. No reported impacts to wildlife or a waterbody.
20160412,2016-02-11,2016-02-11,Spyglass Resources Corp.,Skiff (17 km SE),Pipeline,Salt/Produced Water,0.5 m3,No emergency phase.,Release of produced water due to an issue with a pipeline. Line has been isolated and depressurized. Cleanup is underway and no reported impacts to a waterbody or wildlife.
20180642,2018-02-20,2018-02-20,Rising Star Resources Ltd.,Rycroft (8 km SW),Well,Crude Oil and Salt/Produced Water,0.16 m3 and 7.84 m3 respectively,No emergency phase,Release of crude due and Salt/Produced Water due to an issue with a well. Cleanup is underway. No reported impacts to wildlife or a waterbody.
20171817,2017-06-05,2017-06-05,Husky Oil Operations Limited,Wainwright (7 km N),Well,Crude Oil and Salt/Produced Water,0.1 or less m3 and 0.4 m3 respectively,No emergency phase.,Release of emulsion due to an issue with a well. Issue has been rectified and clean up is completed. No reported impacts to wildlife or a waterbody.
20151134,2015-04-20,2015-04-20,,Drayton Valley (40 km W),Pipeline,Crude Oil,0.1 or less m3,No emergency phase.,Pipeline failure resulting in a release of approximately 0.1&nbsp;m3 of crude oil (not sour). It was contained on the pipeline right-of-way. The product did go into a ditch that contains moving run off water that eventually trickles into a muskeg area. The Company will dam the ditch and collect the free product with a vacuum truck. The line was isolated and depressurized. There was no other impact to waterbodies or wildlife reported.
20181064,2018-03-28,2018-03-28,Torxen Energy Ltd.,Duchess (14 km NW),Well,Crude Oil and Salt/Produced Water,0.09 m3 and 0.01 m3 respectively,No emergency phase,Release of crude oil and salt/produced water from a well. Line was isolated and depressurized and clean up is underway. No reported impacts to waterbodies or wildlife.
20173452,2017-11-08,2017-11-08,Keyera Energy Ltd.,Clive (6 km E),Pipeline,Sour gas,N/A,No emergency phase,The release from the pipeline was found and precutionary public measures were taken. No fluids were released. Clean up and repairs are underway.
20132105,2013-10-23,2013-10-23,CNRL,Bonnyville (54 km N),Facility,Saline Water,300&nbsp;m3,No emergency phase.,Caused by equipment failure. Release has been contained and the line has been shut in. Delineation is underway. Cleanup is underway. There is no reports of impacts to wildlife.
20132101,2013-10-16,2013-10-23,NEP Canada ULC,Devon (2 km S),Pipeline,Crude Oil,0.2 m3,No emergency phase.,Cause unknown at this time. Line is shut in and depressurized. Impacted area is approx. 2m X 2m. No reported impacts to wildlife or water bodies.
20132100,2013-10-23,2013-10-23,Penn West Petroleum Ltd.,Little Buffalo (30 km S),Pipeline,Emulsion,40&nbsp;m3,No emergency phase.,"Cause unknown at this time. The well has been shut in. Delineation is underway. Although there are no reported impacts to wildlife or water bodies, wildlife mitigation systems are being deployed."
20140396,2014-02-20,2014-02-20,Husky Oil Operations Limited,Taber (22 km S),Pipeline,Salt/Produced Water,50 m3,No emergency phase.,Release of 25 m2 of produced water from a pipeline. Contained in a farmers field and no reports of waterbodies or wildlife effected. Company is cleaning up spill.
20141305,2014-06-09,2014-06-09,Penn West Petroleum Ltd.,Coronation (28 km N),Well,Gas Production (Raw),1 &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of raw gas with a sour component due to a surface casing vent failure. Well is being serviced with tank truck tied in to sweeten the vapours. No reported odour complains or impacts to waterbodies or wildlife.
20140390,2014-02-19,2014-02-19,Husky Oil Operations Limited,Rainbow Lake (18 km SE),Pipeline,Methanol/Water,0.4 m3,No emergency phase.,Release of a mixture of water and methanol from a pipeline during pressure testing. No reports of waterbodies or wildlife effected.
20180355,2018-01-28,2018-01-28,Zargon Oil &amp; Gas Ltd.,Morinville (2 km SW),Pipeline,Crude Oil and Unknown,0.1 or less m3 and 0.1 or less m3 respectively,No emergency phase.,Release of sour oil effluent on lease due to an issue on a pipeline. Line has been depressurized and cleanup is underway. No reported impacts to wildlife or a waterbody.
20160365,2016-02-06,2016-02-06,Husky Oil Operations Limited,Wainwright (8 km N),Pipeline,Crude Oil and Process Water,0.5 m3 and 148 m3 respectively,No emergency phase.,Company reported a pipeline failure off-lease from an oil emulsion flow line. Line has been shut in and isolated. Cleanup is underway. No impacts reported to waterbodies or wildlife.
20180212,2018-01-16,2018-01-16,Canadian Natural Resources Limited,Grande Prairie (43 km NW),Pipeline,H2S and Gas Production (Raw),0.1 or less m3 and 0.1 or less &times;&nbsp;103&nbsp;m3 respectively,No emergency phase.,Release of sour natural gas from a pipeline. The pipeline has been isolated and depressurized and cleanup and repairs are underway. There are no reported impacts to wildlife or waterbodies.
20173325,2017-10-25,2017-10-25,City Of Medicine Hat,Medicine Hat (0.3 km W),Pipeline,Gas Production (Raw),1 &times;&nbsp;103&nbsp;m3,No emergency phase,Release of sweet natural gas from a pipeline. Pipeline has been shut in and depressurized. There are no reported impacts to waterbodies or wildlife.
20143193,2014-12-01,2014-12-01,Talisman Energy Inc.,Chauvin (5 km S),Facility,Crude Oil and Salt/Produced Water,1 m3 and 1.3 m3 respectively,No emergency phase.,Emulsion was misted off site from a flare stack. Clean up underway. No reported impacts to wildlife or waterbodies.
20140715,2014-03-28,2014-03-28,Husky Oil Operations Limited,High Level (50 km SW),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,"A gas leak was detected containing low concentrations of H2S from a pipline. The line has been shutin wells on the line have been isolated. Repairs to the line are underway, and there have been no reported impacts to wildlife."
20142387,2014-09-22,2014-09-22,EOG Resources Canada Inc.,Oyen (43 km NE),Pipeline,Gas Production (Raw) and Salt/Produced Water,1 &times;&nbsp;103&nbsp;m3 and 1 m3 respectively,No emergency phase.,Release of sweet natural gas with some produced water due to a pipeline leak. Clean up is underway and line has been shut in and depressurized. No reported impacts to a waterbody or wildlife.
20182798,2018-08-28,2018-08-29,Canadian Natural Resources Limited,Swan Hills (8 km N),Pipeline,Salt/Produced Water,10 m3,No emergency phase,Release occurred from a pipeline. Clean up is underway. No reported impacts to wildlife.
20131550,2013-08-15,2013-08-15,Penn West Petroleum Ltd.,Consort (2 km SW),Facility,Sour crude oil,65.0 m3,No emergency phase.,Caused by equipment failure. Fluid contained on lease within secondary containment. No impacts to wildlife or waterways reported.
20181189,2018-04-11,2018-04-11,Paramount Resources Ltd.,Zama City (9 km NE),Pipeline,Crude Oil and Salt/Produced Water,100 m3 and 190 m3 respectively,Emergency phase over,"The Company reported a release of crude oil and salt/produced water from a pipeline. The pipeline was isolated and depressurized, and clean-up is underway. No reported impacts to wildlife. The release was discovered by company personnel who were investigating a low-pressure alarm from the pipelines leak detection system. Although the release was initially believed to be minor further investigation, indicates that the size of the release is approximately 100 m³ of crude oil and 190 m³ of salt/produced water. Initial delineation indicates that the impacted area is approximately 200 m by 200 m. The impacts are believed to be on an upland area, and it also appears that no waterbodies were impacted. Update: Emergency phase ended April 16, 2018."
20141232,2014-05-24,2014-05-29,Husky Oil Operations Limited,Wainwright (5 km N),Pipeline,Salt/Produced Water,15 m3,No emergency phase.,Release of produced water due to a pipeline failure. Release has gone of lease into cropland. Pipeline was isolated and depressurized. Free fluids were recovered and cleanup is ongoing. No reported impacts to waterbodies or wildlife.
20132426,2013-12-03,2013-12-03,Harvest Operations Corp.,Rocky Mountain House (15 km W),Well,Crude Oil,2 m3,No emergency phase.,Caused by a stuffing box failure. Release went off lease. No reported impacts to wildlife or water bodies.
20132427,2013-12-03,2013-12-03,Legacy Oil + Gas Inc.,Wabasca (45 km S),Facility,Crude Bitumen,0.1 or less m3,No emergency phase.,Slight misting off lease caused by flare stack carry over. No reported impacts to wildlife or water bodies.
20140487,2014-03-04,2014-03-04,Penn West Petroleum Ltd.,Slave Lake (19 km SE),Pipeline,Crude Oil and Salt/Produced Water,0.7 m3 and 0.3 m3 respectively,No emergency phase.,"Emulsion release from a pipeline break. No free fluids only staining at surface. Clean up is underway, and there have been no reported impacts to any water bodies or wildlife."
20132421,2013-12-02,2013-12-02,ARC Resources Ltd,Redwater (8 km NW),Facility,Produced Water,10 m3,No emergency phase.,Release of produced water due to a fitting failure on a knockout tank. The product had an H2S component of 20 mol/kmol. The release was contained on lease and within a building. No off-site impacts reported.
20141235,2014-05-28,2014-05-28,AltaGas Ltd.,Wabasca-Desmarais (50 km W),Pipeline,Gas Production (Raw) and Salt/Produced Water,0.1 or less &times;&nbsp;103&nbsp;m3 and 0.1 or less m3 respectively,No emergency phase.,Pipeline was depressured. Clean-up is underway. There are no reported impacts to wildlife or waterbodies.
20140484,2014-03-04,2014-03-04,Arc Resources,High Prairie (20 km E),Well,Crude Oil and Salt/Produced Water,1.5 m3 and 12.5 m3 respectively,No emergency phase.,"Emulsion release from stationary tanks on lease as the result of an over pressurization, causing a pop valve to release. Emulsion overflowed secondary containment and some of the fluids migrated off lease. Land owner has been notified and cleanup is underway. No reported impacts to water bodies or wildlife."
20141627,2014-07-10,2014-07-10,Cenovus Energy Inc.,Rolling Hills (10 km E),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,A pipeline pig trap failure was discovered. Clean up is underway and there are no reported impacts to wildlife or waterbodies.
20162313,2016-08-16,2016-08-16,Enerplus Corporation,Tilley (3 km NE),Pipeline,Crude Oil,0.2 m3,No emergency phase.,Line is depressured and cleanup is underway. No impacts to wildlife or waterbodies.
20132429,2013-12-03,2013-12-03,Penn West Petroleum Ltd.,Swan Hills (50 km W),Pipeline,Emulsion,100 m3,No emergency phase.,Cause unknown. The emulsion had a H2S component of 7.6 mol/kmol. About 80% of the spill is contained on the satellite lease site and the other 20% has travelled off the lease down the lease road. No reported impacts to wildlife or water bodies.
20161223,2016-05-02,2016-05-02,Canadian Natural Resources Limited,Mannville (21 km S),Pipeline,Gas Production (Raw),1 &times;&nbsp;103&nbsp;m3,No emergency phase.,Company has depressured and isolated the line. Cleanup is underway. No impacts to wildlife or waterbodies reported.
20140142,2014-01-17,2014-01-17,ARC Resources Ltd.,Bruderheim (5 km NW),Pipeline,Sour Gas,unknown,No emergency phase.,Operator noticed odours on lease and suspected a line break. Line was shut in and depressured. Odours disappeared shortly after. No fluids observed on or off lease. No reported impacts to wildlife or waterbodies.
20140143,2014-01-17,2014-01-17,Harvest Operations Corp.,Forestburg (15 km E),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 2.9 m3 respectively,No emergency phase.,Unknown cause of spill. Product has been cleaned up and cause is under investigation. No report of any impacts to wildlife or waterbodies.
20140140,2014-01-16,2014-01-16,Long Run Exploration Ltd.,Alberta Beach (30 km NW),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Suspected equipment failure discovered by the operator. Line is shut in and snow is being removed for better access. No reported impacts to wildlife or waterbodies.
20141237,2014-05-30,2014-05-30,Imperial Oil Resources Limited,Cynthia (5 km NW),Pipeline,Gas Production (Raw),0.1 or less m3,No emergency phase.,Unknown cause of release at this time. Clean up is underway. There are no reported impacts to wildlife.
20140146,2014-01-17,2014-01-17,Penn West Petroleum Ltd.,Rainbow Lake (40 km NE),Pipeline,Natural Gas,1 m3,No emergency phase.,A pinhole leak was discovered on the pipeline. Access is difficult and being created due to trees knocked down during high winds. Surface area impacted 1&nbsp;m2. No report of any waterbodies or wildlife impacted
20161732,2016-06-27,2016-06-27,Pine Cliff Energy Ltd.,Medicine Hat (27 km SE),Pipeline,Gas Production (Raw) and Salt/Produced Water,0.5 &times;&nbsp;103&nbsp;m3 and 4 m3 respectively,No emergency phase.,Release of natural gas and produced water due to an issue on a pipeline. Release went to a crop field. Line has been shut in and clean up is underway. No reported impacts to wildlife or a waterbody.
20161273,2016-05-08,2016-05-08,Bonterra Energy Corp.,Alder Flats (12 km N),Pipeline,Salt/Produced Water,10 m3,No emergency phase.,A pipeline release in the right of way flowed into a dugout on private land. Clean-up is underway. No impacts to wildlife or watebodies reported.
20161375,2016-05-23,2016-05-23,Canadian International Oil Operating Corp.,Grande Prairie (32 km SE),Facility,Salt/Produced Water,1 m3,No emergency phase.,Release of produced water due to an issue at a facility. Clean up is underway. No reported impacts to wildlife or a waterbody.
20140148,2014-01-17,2014-01-18,ARC Resources Ltd.,Drayton Valley (10 km E),Pipeline,Produced Water,70&nbsp;m3,"Over - Emergency phase ended Jan 24th, 2014",A release was found by the operator and line was shut in. Further investigation revealed 2 ponds that were impacted. Delineation and clean-up is underway. There is no report of wildlife impacts. Land owners have been notified.
20161377,2016-05-23,2016-05-23,Harvest Operations Corp.,Little Buffalo (12 km NW),Facility,Salt/Produced Water,3 m3,No emergency phase.,Release of produced water due to an issue at a facility. Clean up is underway. No reported impacts to wildlife or a waterbody.
20161371,2016-05-20,2016-05-20,Imperial Oil Resources Limited,Cold Lake (30 km NW),Facility,Crude Bitumen,6.1 m3,No emergency phase.,Release of bitumen due to an issue with a well at a facility. Issue has been rectified and cleanup is underway. No reported impacts to wildlife or a waterbody.
20140067,2014-01-06,2014-01-06,Artek Exploration Ltd.,Fairview (25 km W),Pipeline,Crude Oil and Salt/Produced Water,0.2 m3 and 6.8 m3 respectively,No emergency phase,Failure in pipeline resulted in release of emulsion. Product was contained to the pipeline right-of-way with no observed impacts beyond the right-of-way. The release is in pasture land and the landowner has been notified. No reported impacts to wildlife or waterbodies
20161373,2016-05-23,2016-05-23,Penn West Petroleum Ltd.,Wimborne (7 km N),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of sour natural gas due to an issue on a pipeline. Pipeline has been isolated and depressurized. No reported impacts to wildlife or waterbody.
20170446,2017-02-06,2017-02-06,Cenovus FCCL Ltd.,Conklin (71.54 km SW),Pipeline,Salt/Produced Water,2 m3,No emergency phase,Release of Salt/Produced Water due to an issue at a facility. Issue has been rectified and cleanup underway. No reported impacts to wildlife or a waterbody.
20170528,2017-02-12,2017-02-12,Husky Oil Operations Limited,Conklin (12 km S),Well,Salt/Produced Water,115 m3,No emergency phase,Release of produced water. Release was stopped and cleanup is underway. No reported impacts to wildlife or waterbodies.
20132563,2013-12-23,2013-12-23,NAL Resources Limited,Red Deer (40 km W),Pipeline,Crude Oil,1 m3,No emergency phase.,Small leak discovered in pipeline. Product cleaned up with vacuum truck. No reported impacts to wildlife or waterbodies.
20132562,2013-12-23,2013-12-23,Suncor Energy Inc.,Vauxhall (13 km SW),Pipeline,Crude Oil,0.1 or less m3,No emergency phase.,Majority of product contained on lease howcver some migrated to a nearby farmer&rsquo;s field. Product contained and cleanup in progress.� No reported impacts to waterbodies or wildlife.
20132569,2013-12-22,2013-12-22,Grizzly Oil Sands ULC,Cold Lake (140 km NW),Well,Boiler Blowdown,0.8 m3,No emergency phase.,Release of process water due to cracked frange on rig tank. Some impact to wetland; however no flowing water. Clean-up underway with sampling being conducted.
20162958,2016-10-06,2016-10-06,Trilogy Resources Ltd.,Fox Creek (15 km NE),Pipeline,Crude Oil and Salt/Produced Water (50/50 ratio),250 m3,Emergency phase over,"The company contacted the AER to report that during a right-of-way inspection they discovered a release of oil emulsion that has impacted a non-fishbearing, flowing marsh area. Actual volume released is not known at this time. The oil emulsion ratio in the pipeline is 50 percent water and 50 percent oil. The pipeline has been shut in and is being purged. An Environmental Contractor is on site and started containment, delineation and sampling activities. An AER Inspector and Emergency Response Coordinator will be onsite to coordinate the response with the company. There have been no reported impacts to any wildlife at this time. The approx. volume has been estimated at 250&nbsp;m3. Emergency phase over on October 30, 2016."
20140547,2014-03-10,2014-03-10,Harvest Operations Corp.,Hardisty (25 km W),Pipeline,Crude Oil and Salt/Produced Water,2 m3 and 3 m3 respectively,No emergency phase.,Cause of release unknown at this time. Pipeline was depressured and clean-up is underway. There are no reported impacts to wildlife or waterbodies.
20171219,2017-04-14,2017-04-14,TAQA North Ltd.,Hays (10 km NW),Pipeline,Gas Production (Raw) and Salt/Produced Water,0.1 or less &times;&nbsp;103&nbsp;m3 and 0.1 or less m3 respectively,No emergency phase,Release of emulsion due to an issue on a pipeline. Line has been shut in and clean up is underway. No reported impacts to wildlife or a waterbody.
20181592,2018-05-12,2018-05-12,Torxen Energy Ltd.,Drumheller (4 km SW),Pipeline,Gas Production (Raw),0.1 &times;&nbsp;103&nbsp;m3,No emergency phase,Release of natural gas due to an issue on a pipeline. Line has been isolated and depressurized. No reported impacts to wildlife or a waterbody.
20180103,2018-01-08,2018-01-08,Blackbird Energy Inc.,Grande Prairie (16 km SW),Facility,Salt/Produced Water,4 m3,No emergency phase.,Release occurred from a pipeline during testing. Clean up is underway. No reported impacts to waterbodies or wildlife.
20131927,2013-09-30,2013-09-30,Canadian Natural Resources Limited,Hines Creek (77 km NW),Pipeline,Emulsion,0.5 m3,No emergency phase.,Release impacted lease road and pipeline right-of-way. Emulsion contains some H2S gas. No reported impacts to wildlife or water bodies.
20132190,2013-11-02,2013-11-02,Apache Canada Ltd.,Provost (24 km SW),Pipeline,Natural Gas and Produced Water,2 &times;&nbsp;103&nbsp;m3 and 0.1 or less m3 respectively,No emergency phase.,Line carries sweet gas and may containing a small amount of liquids. Line failed on the edge of a slough. Sampling was conducted. Preliminary sampling showed no impacts to the water body. No additional impacts reported.
20131922,2013-09-27,2013-09-28,Cenovus FCCL Ltd.,Cold Lake (80 km N),Pipeline,Process Water,0.2 m3,No emergency phase.,A small amount of condensed steam (process water) was released on the pipeline right-of-way. No additional impacts reported. Soil sampling and remediation will be conducted. Cause is reported to be from equipment failure.
20132193,2013-11-03,2013-11-03,Husky Oil Operations Limited,Vermilion (20 km NW),Well,Crude Oil,1.5 m3,No emergency phase.,Tank overflow. Majority of the release was contained in the tank dyke. A small amount misted off lease due to the wind. No additional impacts reported.
20161972,2016-07-19,2016-07-19,Penn West Petroleum Ltd.,Edmonton (1 km W),Well,Emulsion,5 m3,No emergency phase.,A release of emulsion off lease due to well issue. Well has been shut in and clean up is underway. No impacts to wildlife or waterbodies reported.
20171133,2017-04-04,2017-04-05,Trilogy Resources Ltd.,Fox Creek (5 km SE),Well,Condensate,0.1 or less m3,No emergency phase,A small amount of product was released due to an issue with a production tank. Clean up is underway. No impacts to wildlife or waterbodies have been reported.
20161614,2016-06-14,2016-06-14,Kelt Exploration Ltd.,Grand Prairie (82 km NW),Facility,Emulsion,5 m3,Emergency phase over.,The company reported a release of crude oil and produced water from a seperator. The release has gone off lease and entered a creek. Clean up is underway. No reports of wildlife impacts at this time. Emergency phase called down 06/18/2016.
20181359,2018-04-26,2018-04-26,Inter Pipeline Ltd.,Bashaw (22 km N),Pipeline,Crude Oil,0.1 or less m3,No emergency phase.,Release occurred from a pipeline. Clean up is underway. No reported impacts to waterbodies or wildlife.
